Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2015,Stockholm County,,182,385,1175,111.0,146,2584,266,5212
2015,Kalmar County,,57,93,40,36.0,569,535,348,1718
2015,Kronoberg County,,46,63,48,23.0,223,477,41,953
2015,Norrbotten County,,73,316,1697,21.0,128,648,1666,4591
2016,Norrbotten County,,68,294,2005,19.0,126,629,2369,5552
2016,Ostergotland County,,29,132,559,37.0,494,893,165,2384
2016,Halland County,,46,127,75,23.0,158,678,304,1459
2016,Kalmar County,,54,89,59,34.0,565,518,352,1712
2016,Vasternorrland County,,31,113,137,25.0,102,521,532,1502
2016,Sodermanland County,,61,91,17,25.0,251,602,1598,2693
2016,Jamtland County,,32,111,24,16.0,119,354,18,696
2016,Gotland County,,36,126,91,29.0,139,592,663,1732
2016,Vastmanland County,,50,73,257,17.0,145,470,334,1391
2016,Kronoberg County,,44,56,57,22.0,223,457,48,940
2016,Vasterbotten County,,29,157,139,23.0,179,558,351,1480
2016,Skane County,,194,328,693,177.0,1099,2114,958,5781
2016,Orebro County,,180,95,148,26.0,204,580,167,1449
2016,Uppsala County,,23,104,371,28.0,278,726,70,1659
2016,Varmland County,,51,106,75,37.0,188,586,202,1292
2016,Dalarna County,,32,39,16,33.0,117,235,58,556cpt
2016,Blekinge County,,177,466,803,169.0,1138,2825,4664,10527
2016,Vastragotaland County,,177,466,803,169.0,1138,2825,4664,10527
2016,Gavleborg County,,10,38,2,16.0,270,205,1867,2418
2016,Jonkoping County,,67,96,107,36.0,423,786,125,1699
2016,Stockholm County,,170,357,1078,100.0,143,2505,285,5005
2017,Uppsala County,,21,108,303,27.0,282,715,58,1574
2017,Halland County,,42,128,75,23.0,159,608,294,1376
2017,Vasterbotten County,,28,153,129,23.0,178,596,343,1494
2017,Dalarna County,,30,42,16,30.0,118,239,45,546
2017,Gotland County,,32,120,94,30.0,141,549,660,1676
2017,Vastragotaland County,,173,476,592,159.0,1167,2793,4703,10347
2017,Gavleborg County,,10,37,2,15.0,277,220,1754,2325
2017,Blekinge County,,173,476,592,159.0,1167,2793,4703,10347
2017,Kalmar County,,52,92,59,33.0,575,496,340,1687
2017,Vastmanland County,,44,75,267,17.0,151,456,305,1359
2017,Jamtland County,,30,92,25,16.0,119,335,15,653
2017,Vasternorrland County,,29,116,135,25.0,99,481,554,1480
2017,Norrbotten County,,64,282,2332,19.0,126,644,2227,5736
2017,Orebro County,,186,91,109,26.0,205,555,162,1383
2017,Sodermanland County,,58,97,14,24.0,257,611,1607,2716
2017,Ostergotland County,,28,132,546,36.0,506,822,158,2303
2017,Skane County,,184,330,585,158.0,1129,2075,869,5548
2017,Kronoberg County,,41,58,50,22.0,222,458,38,922
2017,Varmland County,,46,108,70,38.0,192,574,212,1286
2017,Jonkoping County,,64,103,112,36.0,428,792,100,1694
2017,Stockholm County,,161,356,1023,98.0,147,2399,236,4788
2018,Kalmar County,,48,91,55,29.0,559,480,320,1619
2018,Varmland County,,44,104,70,31.0,188,545,223,1248
2018,Jamtland County,,28,96,30,12.0,117,227,15,545
2018,Vastmanland County,,42,70,283,15.0,143,460,267,1321
2018,Dalarna County,,28,43,17,28.0,118,232,72,562
2018,Stockholm County,,150,349,1140,91.0,142,2323,236,4775
2018,Halland County,,40,121,77,19.0,156,582,288,1326
2018,Vastragotaland County,,161,458,681,143.0,1147,2798,4961,10613
2018,Kronoberg County,,39,58,51,18.0,220,438,42,896
2018,Jonkoping County,,60,100,112,30.0,423,782,91,1653
2018,Norrbotten County,,60,287,2283,16.0,125,603,1973,5385
2018,Uppsala County,,21,99,410,23.0,270,699,60,1638
2018,Blekinge County,,161,458,681,143.0,1147,2798,4961,10613
2018,Gavleborg County,,10,35,6,13.0,266,237,1856,2432
2018,Gotland County,,31,116,89,25.0,142,510,633,1592
2018,Vasterbotten County,,26,146,151,18.0,178,568,356,1484
2018,Vasternorrland County,,28,106,144,20.0,99,439,593,1466
2018,Ostergotland County,,27,121,550,31.0,494,819,167,2278
2018,Orebro County,,179,86,125,22.0,201,545,151,1355
2018,Skane County,,166,324,556,149.0,1066,1984,906,5354
2018,Sodermanland County,,55,91,15,21.0,245,586,1536,2593
2019,Orebro County,,166,93,113,20.0,202,534,150,1321
2019,Kronoberg County,,35,64,46,17.0,220,426,38,874
2019,Ostergotland County,,26,135,538,28.0,472,810,140,2214
2019,Halland County,,36,136,71,17.0,155,576,264,1296
2019,Jonkoping County,,53,106,108,28.0,418,772,91,1627
2019,Dalarna County,,25,44,9,31.0,113,230,40,514
2019,Gotland County,,28,124,94,22.0,141,505,613,1571
2019,Jamtland County,,25,104,18,12.0,115,227,14,533
2019,Norrbotten County,,53,319,1624,14.0,124,604,2651,5425
2019,Gavleborg County,,10,35,3,15.0,259,240,1680,2250
2019,Varmland County,,40,111,69,29.0,192,540,212,1233
2019,Vasternorrland County,,25,113,140,19.0,99,437,558,1426
2019,Blekinge County,,146,496,668,145.0,1172,2766,4351,9991
2019,Vastragotaland County,,146,496,668,145.0,1172,2766,4351,9991
2019,Skane County,,149,347,524,165.0,1105,1961,855,5298
2019,Sodermanland County,,49,100,13,19.0,243,579,2144,3189
2019,Vastmanland County,,37,79,250,13.0,147,457,259,1281
2019,Uppsala County,,19,104,304,21.0,275,688,57,1521
2019,Stockholm County,,134,353,1019,80.0,142,2302,194,4549
2019,Vasterbotten County,,24,155,127,17.0,174,563,339,1437
2019,Kalmar County,,43,93,61,28.0,554,473,140,1427
2020,Vasterbotten County,,23,155,99,16.0,172,484,339,1319
2020,Gotland County,,27,128,90,21.0,139,466,568,1473
2020,Varmland County,,35,110,65,27.0,187,503,190,1149
2020,Skane County,,145,359,450,162.0,1116,1791,843,5022
2020,Orebro County,,156,93,73,18.0,208,486,135,1204
2020,Kalmar County,,40,89,59,26.0,555,424,66,1287
2020,Blekinge County,,139,484,505,139.0,1175,2532,3795,8970
2020,Uppsala County,,17,110,186,20.0,285,610,51,1322
2020,Ostergotland County,,26,133,516,26.0,502,732,123,2111
2020,Sodermanland County,,45,108,11,18.0,246,520,1558,2540
2020,Gavleborg County,,10,36,2,14.0,253,186,1589,2097
2020,Stockholm County,,128,354,609,75.0,138,2081,167,3814
2020,Vastmanland County,,33,81,174,12.0,156,419,228,1134
2020,Jamtland County,,23,101,9,11.0,114,209,12,494
2020,Kronoberg County,,32,61,28,15.0,218,386,35,798
2020,Norrbotten County,,47,322,2028,13.0,124,559,2097,5219
2020,Jonkoping County,,51,105,112,26.0,410,703,79,1528
2020,Vastragotaland County,,139,484,505,139.0,1175,2532,3795,8970
2020,Vasternorrland County,,23,113,115,17.0,96,398,542,1332
2020,Halland County,,32,133,66,16.0,151,525,227,1183
2020,Dalarna County,,22,46,14,30.0,111,209,32,482
2021,Halland County,,30,133,46,16.0,152,528,247,1182
2021,Jonkoping County,,45,117,122,26.0,412,705,71,1536
2021,Skane County,,129,365,458,158.0,1086,1803,883,5027
2021,Ostergotland County,,24,140,568,27.0,491,736,128,2163
2021,Orebro County,,167,98,123,19.0,202,488,150,1279
2021,Norrbotten County,,41,335,2018,14.0,122,572,2131,5259
2021,Kalmar County,,35,100,73,26.0,542,424,61,1287
2021,Gavleborg County,,8,36,8,14.0,246,138,1557,2013
2021,Jamtland County,,20,97,10,11.0,115,210,12,489
2021,Gotland County,,25,128,97,21.0,138,468,603,1513
2021,Kronoberg County,,29,63,30,16.0,219,389,33,800
2021,Blekinge County,,125,505,662,138.0,1158,2549,4637,9956
2021,Dalarna County,,19,45,90,29.0,107,212,33,552
2021,Vasterbotten County,,20,154,112,16.0,170,489,356,1346
2021,Uppsala County,,17,116,196,20.0,274,614,49,1327
2021,Vastmanland County,,29,83,231,13.0,151,421,246,1203
2021,Vasternorrland County,,21,109,159,18.0,93,399,533,1358
2021,Vastragotaland County,,125,505,662,138.0,1158,2549,4637,9956
2021,Sodermanland County,,40,111,23,18.0,242,523,1695,2683
2021,Stockholm County,,114,380,657,77.0,136,2098,167,3876
2021,Varmland County,,34,119,77,27.0,184,507,195,1173
2022,Norrbottens County,249177.0,194,1 152,6 995,,455,1 843,9 817,830.10524
2022,Oerebro County,307772.0,105,268,341,,651,1 431,907,1173.842408
2022,Vaesterbottens County,276295.0,92,486,424,,560,1 559,1 116,1200.77807
2022,Jaemtlands County,132670.0,181,639,125,,801,1 300,75,428.78944
2022,Vaesternorrlands County,243265.0,90,392,678,,372,1 491,2 270,1314.60406
2022,Gaevleborgs County,287334.0,104,388,203,,504,1 669,806,1088.133858
2022,Dalarnas County,288310.0,91,385,417,,471,1 464,2 057,1440.97338
2022,Vaestmanlands County,280713.0,96,261,640,,556,1 340,783,1062.779418
2022,Stockholms County,2440027.0,44,136,337,,57,785,56,-581.246202
2022,Blekinge County,158740.0,111,225,1 241,,667,1 214,230,602.57704
2022,Hallands County,342805.0,59,228,489,,1 033,1 707,271,1335.911085
2022,Skaane County,1414324.0,84,214,453,,766,1 150,545,400.588384
2022,Soedermanlands County,302566.0,119,331,139,,828,1 580,5 640,-1648.422494
2022,Gotlands County,61173.0,149,507,279,,4 031,2 269,24 724,1961.695764
2022,Kronobergs County,204335.0,133,245,240,,1 010,1 739,120,735.19733
2022,Joenkoepings County,369113.0,114,240,419,,1 019,1 717,142,1388.603106
2022,Oestergoetlands County,471912.0,51,240,1 312,,1 032,1 420,244,2081.13192
2022,Uppsala County,400682.0,43,244,502,,709,1 412,121,1257.740798
2022,Vaermlands County,283976.0,117,366,387,,624,1 548,577,1059.514456
2022,Kalmar County,247711.0,133,320,404,,2 076,1 590,206,1198.92124
2022,Vaestmanlands County,280713.0,96,261,640,,556,1 340,783,1062.779418
2022,Hallands County,342805.0,59,228,489,,1 033,1 707,271,1335.911085
2022,Vaestra Goetalands County,1758656.0,68,246,451,,649,1 327,2 460,748.528768
