Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2010,Skane County,,297.0,338.0,1582.0,330.0,1078.0,2471.0,1129.0,7431
2010,Uppsala County,,33.0,121.0,604.0,53.0,286.0,825.0,109.0,2085
2010,Jonkoping County,,107.0,121.0,169.0,69.0,416.0,947.0,130.0,2023
2010,Orebro County,,189.0,112.0,300.0,50.0,202.0,695.0,160.0,1761
2010,Kalmar County,,88.0,108.0,89.0,65.0,559.0,594.0,443.0,1993
2010,Gavleborg County,,15.0,45.0,5.0,28.0,271.0,214.0,1690.0,2279
2010,Vastragotaland County,,271.0,560.0,1298.0,321.0,1123.0,3269.0,4886.0,12017
2010,Norrbotten County,,110.0,329.0,2238.0,36.0,134.0,710.0,2326.0,5934
2010,Vasterbotten County,,45.0,184.0,167.0,39.0,188.0,634.0,330.0,1635
2010,Dalarna County,,51.0,49.0,159.0,62.0,117.0,303.0,102.0,872
2010,Sodermanland County,,103.0,94.0,62.0,47.0,253.0,728.0,2263.0,3600
2010,Varmland County,,87.0,138.0,101.0,75.0,186.0,698.0,309.0,1649
2010,Ostergotland County,,44.0,140.0,698.0,69.0,495.0,1051.0,247.0,2822
2010,Vasternorrland County,,49.0,144.0,250.0,46.0,111.0,616.0,698.0,1965
2010,Gotland County,,55.0,146.0,111.0,56.0,142.0,700.0,725.0,1998
2010,Blekinge County,,271.0,560.0,1298.0,321.0,1123.0,3269.0,4886.0,12017
2010,Vastmanland County,,75.0,93.0,668.0,33.0,142.0,570.0,546.0,2175
2010,Stockholm County,,272.0,362.0,1671.0,212.0,147.0,2849.0,346.0,6173
2010,Kronoberg County,,72.0,70.0,114.0,41.0,229.0,564.0,51.0,1176
2010,Jamtland County,,52.0,118.0,37.0,28.0,122.0,424.0,20.0,827
2010,Halland County,,74.0,151.0,92.0,42.0,150.0,812.0,577.0,1954
2015,Dalarna County,,34.0,43.0,9.0,35.0,119.0,256.0,67.0,589
2015,Gotland County,,39.0,125.0,81.0,32.0,141.0,623.0,642.0,1737
2015,Blekinge County,,189.0,482.0,566.0,179.0,1140.0,2920.0,4577.0,10335
2015,Ostergotland County,,31.0,141.0,480.0,39.0,499.0,928.0,165.0,2357
2015,Sodermanland County,,67.0,93.0,13.0,26.0,261.0,634.0,2260.0,3401
2015,Vasterbotten County,,31.0,165.0,135.0,24.0,181.0,577.0,349.0,1506
2015,Varmland County,,55.0,112.0,63.0,41.0,184.0,607.0,210.0,1318
2015,Vasternorrland County,,33.0,123.0,117.0,27.0,103.0,540.0,488.0,1472
2015,Skane County,,204.0,350.0,751.0,184.0,1091.0,2208.0,934.0,5938
2015,Halland County,,50.0,139.0,63.0,24.0,157.0,708.0,285.0,1473
2015,Gavleborg County,,11.0,38.0,2.0,16.0,270.0,205.0,1936.0,2487
2015,Jonkoping County,,73.0,103.0,112.0,39.0,421.0,822.0,126.0,1755
2015,Vastmanland County,,52.0,79.0,246.0,18.0,148.0,490.0,300.0,1377
2015,Jamtland County,,34.0,110.0,27.0,17.0,119.0,371.0,18.0,717
2015,Vastragotaland County,,189.0,482.0,566.0,179.0,1140.0,2920.0,4577.0,10335
2015,Uppsala County,,23.0,107.0,334.0,29.0,282.0,754.0,73.0,1661
2015,Orebro County,,179.0,103.0,80.0,28.0,204.0,609.0,159.0,1411
2015,Stockholm County,,182.0,385.0,1175.0,111.0,146.0,2584.0,266.0,5212
2015,Kalmar County,,57.0,93.0,40.0,36.0,569.0,535.0,348.0,1718
2015,Kronoberg County,,46.0,63.0,48.0,23.0,223.0,477.0,41.0,953
2015,Norrbotten County,,73.0,316.0,1697.0,21.0,128.0,648.0,1666.0,4591
2016,Norrbotten County,,68.0,294.0,2005.0,19.0,126.0,629.0,2369.0,5552
2016,Ostergotland County,,29.0,132.0,559.0,37.0,494.0,893.0,165.0,2384
2016,Halland County,,46.0,127.0,75.0,23.0,158.0,678.0,304.0,1459
2016,Kalmar County,,54.0,89.0,59.0,34.0,565.0,518.0,352.0,1712
2016,Vasternorrland County,,31.0,113.0,137.0,25.0,102.0,521.0,532.0,1502
2016,Sodermanland County,,61.0,91.0,17.0,25.0,251.0,602.0,1598.0,2693
2016,Jamtland County,,32.0,111.0,24.0,16.0,119.0,354.0,18.0,696
2016,Gotland County,,36.0,126.0,91.0,29.0,139.0,592.0,663.0,1732
2016,Vastmanland County,,50.0,73.0,257.0,17.0,145.0,470.0,334.0,1391
2016,Kronoberg County,,44.0,56.0,57.0,22.0,223.0,457.0,48.0,940
2016,Vasterbotten County,,29.0,157.0,139.0,23.0,179.0,558.0,351.0,1480
2016,Skane County,,194.0,328.0,693.0,177.0,1099.0,2114.0,958.0,5781
2016,Orebro County,,180.0,95.0,148.0,26.0,204.0,580.0,167.0,1449
2016,Uppsala County,,23.0,104.0,371.0,28.0,278.0,726.0,70.0,1659
2016,Varmland County,,51.0,106.0,75.0,37.0,188.0,586.0,202.0,1292
2016,Dalarna County,,32.0,39.0,16.0,33.0,117.0,235.0,58.0,556cpt
