Huvudsektor,Undersektor,Län,Kommun,CO2 1990,CO2 2000,CO2 2005,CO2 2010,CO2 2015,CO2 2016,CO2 2017,CO2 2018,CO2 2019,CO2 2020,CO2 2021,CO2 2022
Alla,Alla,Kalmar län,Västervik,207542.554315325,185957.207469215,174910.19248853,153649.351773585,129983.73904774,133151.590992499,126395.588309207,118120.095239748,117315.359390297,104765.571916535,112692.013092917,102183.919151456
Alla,Alla,Kronobergs län,Alla,1074584.56849662,902643.522519272,957075.470281321,817852.450722234,632301.305466858,615999.024494141,606981.203059861,587738.891106131,575612.142209956,511729.811655824,518057.607507466,467667.765340017
Alla,Alla,Kronobergs län,Alvesta,103603.143680956,93666.8824221896,102260.084499557,75177.8221881891,62232.1734445914,59755.7604387739,60618.8527727343,56913.7337347096,57053.5552076643,51995.5901249584,52666.6602792468,46216.7094976247
Alla,Alla,Kronobergs län,Lessebo,58580.703968024,48777.5781682675,40928.3526758203,26529.3127718227,20895.9918332797,19462.0154414183,19606.1435496534,18525.2671435798,17982.3922021678,16595.813367853,17808.0468275835,14905.4596475554
Alla,Alla,Kronobergs län,Ljungby,194225.00545882,192252.73853675,230773.43204707,211786.880515378,168680.9347451,165512.074352473,161877.941635419,150745.416419575,148496.117168922,138837.607106802,140033.279862573,129440.743177817
Alla,Alla,Kronobergs län,Markaryd,134129.300596082,106372.921053429,93246.6188873656,78220.7395217373,62177.971928382,58934.088277346,57945.7765325106,58625.8279105826,57514.9823548349,54491.325664519,54556.1884738846,48435.5851068216
Alla,Alla,Kronobergs län,Tingsryd,82589.8896938162,78860.5075291175,79821.8669064824,61108.8511345091,47925.8787287499,47515.5504246514,45150.0149510438,43366.3033018127,42109.9381277062,38707.6970207565,39556.3320642493,36072.3135148889
Alla,Alla,Kronobergs län,Uppvidinge,63234.9685053628,59691.2837992503,53205.2863805356,46528.8072409133,39789.2621753081,38177.3898117574,36744.7920673255,37771.6874626417,36829.1803928438,32786.2073379548,33819.9100393342,30171.6649803199
Alla,Alla,Kronobergs län,Växjö,342967.270898976,241343.480204584,269823.719270785,255657.321469036,173498.37096224,170829.816160524,167967.429323124,167971.849495182,163233.572860054,130639.983891076,130437.042379799,117423.259786528
Alla,Alla,Kronobergs län,Älmhult,95254.2657398591,81678.1384333699,87016.1715094492,62842.738657193,57100.693842458,55812.3635618039,57070.2215142504,53818.8494247522,52392.4285273684,47675.5924734667,49180.1610241022,45002.0059280225
Alla,Alla,Norrbottens län,Alla,4716544.26650183,5051481.42920395,5720548.00761267,5650566.46343624,4348768.5715962,5346877.76457438,5507781.5701019,5148909.62717914,5191707.75436308,4977430.38698191,4994858.39499186,4901637.62943476
Alla,Alla,Norrbottens län,Arjeplog,38757.8520735831,38004.7579669046,36484.2904376321,18670.1143114024,16568.4999039787,15785.131937187,13619.4072334388,12545.3013666505,12801.5096977461,11819.4857950683,12503.3934463597,10393.0458085528
Alla,Alla,Norrbottens län,Arvidsjaur,48192.8109934564,50348.3550070616,50253.9922854959,42820.5898561377,40542.7415783332,37944.4199517293,39485.1404283312,34750.5246152804,38535.6179182131,33465.360138873,33654.0525230679,28358.5079996108
Alla,Alla,Norrbottens län,Boden,129743.807269863,98918.4294545182,98948.8361756144,106240.274487919,99424.2088318547,103175.23318146,100286.449356381,102632.79057397,114077.483159945,108715.509694595,113821.45129295,109713.824131353
Alla,Alla,Norrbottens län,Gällivare,327661.823230292,367875.133693671,366495.227372261,407268.854650711,347665.594838339,343429.668100094,430873.622981914,443533.574680019,444208.098211175,397039.15850635,375128.054094032,335057.447755955
Alla,Alla,Norrbottens län,Haparanda,61395.9182596867,61409.0239012617,42978.4765399325,33797.347818776,30273.0054100915,29934.9239647965,28151.0458001037,27575.6876171739,27661.4960708566,26922.5500445342,24781.0605062612,20094.7063086838
Alla,Alla,Norrbottens län,Jokkmokk,79651.4649550475,78534.2200730896,80524.6105186487,48488.1781062668,43948.8901220822,41340.4173649358,35708.9270960493,32923.7380438484,33386.0281751504,30236.8874224126,31622.1734348657,27954.5036663704
Alla,Alla,Norrbottens län,Kalix,159051.93956064,150105.195551697,105425.180189054,86635.9729625028,69443.7656226529,64485.3824024523,66753.7801991577,62028.1131661439,60756.64267019,55001.8394453688,60021.665936214,55241.8903451929
Alla,Alla,Norrbottens län,Kiruna,280808.398345148,552601.372798921,608684.599303986,718964.49364276,682885.934442645,714577.520609018,716837.759544268,707253.076804894,719319.929047413,709778.531498346,686706.852782418,672143.994873085
Alla,Alla,Norrbottens län,Luleå,3083908.79903121,3273937.72767951,3907522.78260948,3876244.67072341,2765810.61764777,3753269.9720745,3830490.32271201,3495831.96040118,3490654.71701124,3360919.96647599,3414273.74192322,3408944.57913881
Alla,Alla,Norrbottens län,Pajala,60221.9744643108,57084.0705403226,53009.2584304207,39108.6979397483,34263.5762300591,31311.8310638448,33110.1031207262,34885.4538706615,47897.8896758288,60737.4647788775,59335.71899029,72209.8113371459
Alla,Alla,Norrbottens län,Piteå,311045.230998991,199705.570190885,262824.260943764,169742.478681583,142649.54954307,139111.399432896,145995.585250877,132183.081599051,140078.406164307,121044.90229144,125055.997627751,110162.291010756
Alla,Alla,Norrbottens län,Älvsbyn,42422.464639337,39401.0157144159,36366.7670609417,29398.1856222879,26180.7581486386,25336.4415149268,24836.3318312781,22997.4295580342,23149.8960292105,23640.5693557747,21246.806495127,18490.5215599712
Alla,Alla,Norrbottens län,Överkalix,42957.3885023908,38691.058140834,35947.3341809685,39808.3223283165,29804.551694672,28817.00174828,24582.9432399798,24404.4754018736,23939.5139039642,23144.3624389562,22415.129391183,19868.8772738206
Alla,Alla,Norrbottens län,Övertorneå,50724.4772279636,44865.3212566208,35082.385803062,33378.3760254131,19306.9537457525,18358.2165123283,17050.3792904577,15364.570156261,15240.3383248768,14963.6332339312,14292.5720185983,13003.555320241
Alla,Alla,Skåne län,Alla,6420730.53394128,5867365.71446399,5277972.82476368,5794172.42849889,4382435.60978075,4222283.39624446,3982088.5947662,3896203.18362251,3805152.28428023,3559075.96136645,3643159.43826719,3291938.82626565
Alla,Alla,Skåne län,Bjuv,164646.453571317,115631.217585918,93388.4644800595,83058.8749724981,70068.2900924181,68352.1365189977,55933.2230173248,50327.7240156409,49894.6011747227,47377.4229057417,48121.9265995045,40779.8183642695
Alla,Alla,Skåne län,Bromölla,111426.502383804,135534.989462312,77336.5508602603,96804.5236842292,81876.0395639584,76350.8045229711,75947.9116433268,80748.1387282978,85589.7231048033,65472.8033074013,69675.5093588935,69968.9384889053
Alla,Alla,Skåne län,Burlöv,161059.724410482,85114.3125119287,65533.0281216067,84122.6455850509,75670.3915596532,77259.8139776245,75144.0053231655,67290.1401021613,68256.6510455291,57722.5220938737,50936.924510329,44743.1210311949
Alla,Alla,Skåne län,Båstad,119665.721820558,99668.2900441716,75118.3390251693,61489.7024008115,50007.583099306,47542.1457938518,45839.643889976,44525.5593181896,43768.4535710723,40863.8061625888,41134.9741576801,37458.4562511108
Alla,Alla,Skåne län,Eslöv,211305.167002465,210657.779091258,196204.293510897,239471.758045467,197423.151039342,217540.225690048,180098.051229631,187334.99857157,161271.699519732,214218.982046547,207714.840462357,184013.705865576
Alla,Alla,Skåne län,Helsingborg,983734.126878884,730541.720309211,669068.573995251,502473.850250361,462030.681935176,455710.865324592,434935.779924198,439225.921531135,444675.840788004,428610.606681681,431660.309239994,393778.344977396
Alla,Alla,Skåne län,Hässleholm,278717.298994089,247351.579705357,241919.704743722,239446.52470496,189392.429301208,183698.607794506,186362.976932359,186697.66200486,186651.756972322,197482.559035191,173740.659445292,160186.450597792
Alla,Alla,Skåne län,Höganäs,232758.790604987,285805.880633845,259621.808095129,280299.459704291,245519.421283226,236306.043544061,242513.843033195,245293.942656745,217113.682993,205869.110509931,243801.864740328,212463.655432766
Alla,Alla,Skåne län,Hörby,63754.9703802983,69804.3765876268,58015.4873805007,55863.6464212021,46928.555947316,45002.7156017616,45880.0817513793,45737.4830980014,45313.9772070035,41803.4134426224,41689.4493606744,37897.251026278
Alla,Alla,Skåne län,Höör,73604.8627029233,66201.7599257058,60722.1293666839,61237.0619240072,52244.3884719659,49722.339500512,49902.7166485948,47001.9042027532,46679.7829439377,43138.4456713124,43075.5939834518,39093.7208442671
Alla,Alla,Skåne län,Klippan,150955.865227296,131184.875866849,116518.547441688,91379.9644301399,77425.1851859821,74165.2470761562,71601.3925649197,73216.8880991362,67696.5679943483,66583.6046825372,67065.3476927996,59326.6683296739
Alla,Alla,Skåne län,Kristianstad,387131.76033656,342244.339404613,299691.877263507,281012.291269844,237778.70997856,224229.594530689,228346.249736929,221389.963001147,215588.291977146,198796.669380543,195309.531808482,185326.242950622
Alla,Alla,Skåne län,Kävlinge,117892.812816871,109952.088491325,97941.9460788992,88085.1760588824,75896.5081838411,72682.0860990496,72525.807368223,69725.9514500803,69657.3044587239,64812.079339597,64789.9271097614,57777.0523773597
Alla,Alla,Skåne län,Landskrona,222177.18983954,239673.657816584,220350.286908786,226937.315447909,212282.789393854,215539.338578793,194326.446559698,206220.971891378,213489.183626486,203401.415895715,201223.67278648,189471.574299713
Alla,Alla,Skåne län,Lomma,106276.580455119,103587.375370202,89081.9118342603,95005.7224418061,82506.0343022403,78844.066187404,80008.4863035385,73983.8216830708,73136.1633953509,68424.8056604747,68364.6008767241,60821.0407133032
