Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2021,gavleborg County,,8,36,8,14.0,246,138,1557,2013
1990,gotland County,,106,137,72,362.0,178,675,775,2391
2000,gotland County,,93,130,45,256.0,172,700,925,2381
2005,gotland County,,79,133,54,126.0,158,745,1062,2424
2010,gotland County,,55,146,111,56.0,142,700,725,1998
2015,gotland County,,39,125,81,32.0,141,623,642,1737
2016,gotland County,,36,126,91,29.0,139,592,663,1732
2017,gotland County,,32,120,94,30.0,141,549,660,1676
2018,gotland County,,31,116,89,25.0,142,510,633,1592
2019,gotland County,,28,124,94,22.0,141,505,613,1571
2020,gotland County,,27,128,90,21.0,139,466,568,1473
2021,gotland County,,25,128,97,21.0,138,468,603,1513
1990,halland County,,150,137,210,257.0,178,718,522,2187
2000,halland County,,127,131,173,179.0,169,752,577,2152
2005,halland County,,103,122,207,91.0,159,808,522,2068
2010,halland County,,74,151,92,42.0,150,812,577,1954
2015,halland County,,50,139,63,24.0,157,708,285,1473
2016,halland County,,46,127,75,23.0,158,678,304,1459
2017,halland County,,42,128,75,23.0,159,608,294,1376
2018,halland County,,40,121,77,19.0,156,582,288,1326
2019,halland County,,36,136,71,17.0,155,576,264,1296
2020,halland County,,32,133,66,16.0,151,525,227,1183
2021,halland County,,30,133,46,16.0,152,528,247,1182
1990,jamtland County,,106,109,118,148.0,137,472,27,1123
2000,jamtland County,,91,105,35,105.0,141,488,28,1013
2005,jamtland County,,75,95,42,56.0,132,521,19,966
2010,jamtland County,,52,118,37,28.0,122,424,20,827
2015,jamtland County,,34,110,27,17.0,119,371,18,717
2016,jamtland County,,32,111,24,16.0,119,354,18,696
2017,jamtland County,,30,92,25,16.0,119,335,15,653
2018,jamtland County,,28,96,30,12.0,117,227,15,545
2019,jamtland County,,25,104,18,12.0,115,227,14,533
2020,jamtland County,,23,101,9,11.0,114,209,12,494
2021,jamtland County,,20,97,10,11.0,115,210,12,489
1990,jonkoping County,,227,112,86,392.0,432,757,168,2193
2000,jonkoping County,,192,108,34,272.0,431,807,177,2071
2005,jonkoping County,,156,155,83,141.0,432,877,121,2028
2010,jonkoping County,,107,121,169,69.0,416,947,130,2023
2015,jonkoping County,,73,103,112,39.0,421,822,126,1755
2016,jonkoping County,,67,96,107,36.0,423,786,125,1699
2017,jonkoping County,,64,103,112,36.0,428,792,100,1694
2018,jonkoping County,,60,100,112,30.0,423,782,91,1653
2019,jonkoping County,,53,106,108,28.0,418,772,91,1627
2020,jonkoping County,,51,105,112,26.0,410,703,79,1528
2021,jonkoping County,,45,117,122,26.0,412,705,71,1536
1990,kalmar County,,187,114,62,339.0,517,547,320,2100
2000,kalmar County,,159,101,54,237.0,531,575,507,2203
2005,kalmar County,,128,102,69,123.0,543,615,502,2133
2010,kalmar County,,88,108,89,65.0,559,594,443,1993
2015,kalmar County,,57,93,40,36.0,569,535,348,1718
2016,kalmar County,,54,89,59,34.0,565,518,352,1712
2017,kalmar County,,52,92,59,33.0,575,496,340,1687
2018,kalmar County,,48,91,55,29.0,559,480,320,1619
2019,kalmar County,,43,93,61,28.0,554,473,140,1427
2020,kalmar County,,40,89,59,26.0,555,424,66,1287
2021,kalmar County,,35,100,73,26.0,542,424,61,1287
1990,kronoberg County,,154,76,127,228.0,249,507,139,1490
2000,kronoberg County,,130,72,39,161.0,240,536,96,1302
2005,kronoberg County,,105,196,52,84.0,241,580,52,1344
2010,kronoberg County,,72,70,114,41.0,229,564,51,1176
2015,kronoberg County,,46,63,48,23.0,223,477,41,953
2016,kronoberg County,,44,56,57,22.0,223,457,48,940
2017,kronoberg County,,41,58,50,22.0,222,458,38,922
2018,kronoberg County,,39,58,51,18.0,220,438,42,896
2019,kronoberg County,,35,64,46,17.0,220,426,38,874
2020,kronoberg County,,32,61,28,15.0,218,386,35,798
2021,kronoberg County,,29,63,30,16.0,219,389,33,800
1990,norrbotten County,,226,296,1598,256.0,165,766,1821,5143
2000,norrbotten County,,193,317,1783,175.0,148,796,1990,5443
2005,norrbotten County,,157,315,2442,86.0,144,850,2043,6088
2010,norrbotten County,,110,329,2238,36.0,134,710,2326,5934
2015,norrbotten County,,73,316,1697,21.0,128,648,1666,4591
2016,norrbotten County,,68,294,2005,19.0,126,629,2369,5552
2017,norrbotten County,,64,282,2332,19.0,126,644,2227,5736
2018,norrbotten County,,60,287,2283,16.0,125,603,1973,5385
2019,norrbotten County,,53,319,1624,14.0,124,604,2651,5425
2020,norrbotten County,,47,322,2028,13.0,124,559,2097,5219
2021,norrbotten County,,41,335,2018,14.0,122,572,2131,5259
1990,orebro County,,221,99,378,323.0,241,600,407,2284
2000,orebro County,,196,94,281,223.0,235,631,281,1983
2005,orebro County,,222,87,301,111.0,212,679,222,1886
2010,orebro County,,189,112,300,50.0,202,695,160,1761
2015,orebro County,,179,103,80,28.0,204,609,159,1411
2016,orebro County,,180,95,148,26.0,204,580,167,1449
2017,orebro County,,186,91,109,26.0,205,555,162,1383
2018,orebro County,,179,86,125,22.0,201,545,151,1355
2019,orebro County,,166,93,113,20.0,202,534,150,1321
2020,orebro County,,156,93,73,18.0,208,486,135,1204
2021,orebro County,,167,98,123,19.0,202,488,150,1279
1990,ostergotland County,,78,164,653,398.0,509,899,328,3049
2000,ostergotland County,,68,140,376,271.0,505,943,414,2778
2005,ostergotland County,,57,135,482,141.0,493,1011,302,2698
2010,ostergotland County,,44,140,698,69.0,495,1051,247,2822
2015,ostergotland County,,31,141,480,39.0,499,928,165,2357
2016,ostergotland County,,29,132,559,37.0,494,893,165,2384
2017,ostergotland County,,28,132,546,36.0,506,822,158,2303
2018,ostergotland County,,27,121,550,31.0,494,819,167,2278
2019,ostergotland County,,26,135,538,28.0,472,810,140,2214
2020,ostergotland County,,26,133,516,26.0,502,732,123,2111
2021,ostergotland County,,24,140,568,27.0,491,736,128,2163
1990,skane County,,584,506,876,1093.0,1272,2290,1854,8529
2000,skane County,,505,416,706,775.0,1191,2393,1667,7815
2005,skane County,,419,419,760,424.0,1112,2567,1154,7059
2010,skane County,,297,338,1582,330.0,1078,2471,1129,7431
2015,skane County,,204,350,751,184.0,1091,2208,934,5938
2016,skane County,,194,328,693,177.0,1099,2114,958,5781
2017,skane County,,184,330,585,158.0,1129,2075,869,5548
2018,skane County,,166,324,556,149.0,1066,1984,906,5354
2019,skane County,,149,347,524,165.0,1105,1961,855,5298
2020,skane County,,145,359,450,162.0,1116,1791,843,5022
2021,skane County,,129,365,458,158.0,1086,1803,883,5027
1990,sodermanland County,,218,99,186,276.0,322,644,2431,4189
2000,sodermanland County,,184,93,52,191.0,289,673,2580,4101
2005,sodermanland County,,148,101,28,98.0,261,721,2651,4057
2010,sodermanland County,,103,94,62,47.0,253,728,2263,3600
2015,sodermanland County,,67,93,13,26.0,261,634,2260,3401
2016,sodermanland County,,61,91,17,25.0,251,602,1598,2693
2017,sodermanland County,,58,97,14,24.0,257,611,1607,2716
2018,sodermanland County,,55,91,15,21.0,245,586,1536,2593
2019,sodermanland County,,49,100,13,19.0,243,579,2144,3189
2020,sodermanland County,,45,108,11,18.0,246,520,1558,2540
2021,sodermanland County,,40,111,23,18.0,242,523,1695,2683
1990,stockholm County,,555,510,1163,1449.0,189,2821,506,7265
2000,stockholm County,,478,425,900,982.0,173,2910,465,6577
2005,stockholm County,,394,416,1266,479.0,153,3079,354,6449
2010,stockholm County,,272,362,1671,212.0,147,2849,346,6173
