Year,City,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2022,Nokia,Pirkanmaa,35346.0,10.2,10.5,20.7,14.8,7.1,53.6,8.4,129.6
1990,Rauma,Satakunta,42410.0,29.5,12.3,78.3,99.4,14.7,90.4,15.3,340.4
2005,Rauma,Satakunta,40381.0,25.2,12.4,84.6,55.1,12.8,81.7,13.8,294.0
2010,Rauma,Satakunta,39715.0,14.5,10.9,80.4,56.6,12.4,82.2,15.3,281.1
2015,Rauma,Satakunta,39809.0,11.4,10.6,32.0,32.0,11.0,72.1,6.8,183.9
2016,Rauma,Satakunta,39614.0,10.2,10.3,36.8,35.8,11.6,77.2,6.9,196.5
2017,Rauma,Satakunta,39620.0,9.1,11.7,34.4,32.8,11.1,73.2,7.2,186.5
2018,Rauma,Satakunta,39360.0,7.7,10.9,43.2,32.6,10.7,73.6,9.2,194.8
2019,Rauma,Satakunta,39205.0,9.6,11.3,37.6,29.4,11.7,71.1,9.9,187.2
2020,Rauma,Satakunta,39040.0,9.6,11.4,27.5,25.5,11.4,67.0,13.1,171.5
2021,Rauma,Satakunta,38959.0,10.1,10.3,28.7,28.0,10.9,62.6,15.3,171.4
2022,Rauma,Satakunta,38667.0,9.7,9.9,34.5,24.1,10.3,59.3,24.3,177.4
1990,Kankaanpaeae,Satakunta,15925.0,11.9,9.0,32.7,37.6,46.7,42.0,6.3,186.4
2005,Kankaanpaeae,Satakunta,14629.0,10.7,9.5,41.5,36.4,45.8,36.0,11.1,194.4
2010,Kankaanpaeae,Satakunta,14013.0,10.7,9.3,52.9,39.8,47.2,34.1,16.2,214.5
2015,Kankaanpaeae,Satakunta,13562.0,10.0,8.9,32.4,21.8,45.7,29.6,11.4,163.9
2016,Kankaanpaeae,Satakunta,13396.0,9.2,8.6,36.2,23.4,46.6,32.8,12.1,172.7
2017,Kankaanpaeae,Satakunta,13292.0,8.6,9.4,37.2,22.5,45.9,30.8,12.3,169.9
2018,Kankaanpaeae,Satakunta,13137.0,8.1,8.9,33.6,22.1,45.9,31.2,10.9,163.9
2019,Kankaanpaeae,Satakunta,12906.0,7.7,9.2,25.5,21.1,47.9,30.0,10.6,155.0
2020,Kankaanpaeae,Satakunta,12758.0,7.3,8.6,17.0,16.8,47.8,28.1,11.1,139.6
2021,Kankaanpaeae,Satakunta,12662.0,6.8,7.7,17.5,17.3,43.2,26.7,11.7,133.6
2022,Kankaanpaeae,Satakunta,12528.0,6.3,8.0,13.1,15.1,42.5,25.7,12.6,125.6
1990,Nakkila,Satakunta,6396.0,3.7,4.3,4.7,13.0,9.1,15.9,8.3,59.0
2005,Nakkila,Satakunta,5832.0,2.9,4.0,4.4,10.2,7.1,15.0,23.1,68.0
2010,Nakkila,Satakunta,5788.0,2.8,4.0,7.5,11.0,7.0,14.7,3.5,51.9
2015,Nakkila,Satakunta,5651.0,2.2,3.7,3.9,6.4,5.7,12.9,3.2,39.0
2016,Nakkila,Satakunta,5548.0,2.1,3.7,4.2,6.9,6.0,14.1,2.7,41.0
2017,Nakkila,Satakunta,5521.0,2.1,3.6,3.3,6.5,5.9,13.5,3.4,39.3
2018,Nakkila,Satakunta,5437.0,2.0,3.7,3.8,6.3,5.5,13.4,2.8,38.6
2019,Nakkila,Satakunta,5329.0,1.9,3.4,3.3,5.7,5.9,13.0,2.4,36.7
2020,Nakkila,Satakunta,5256.0,1.9,3.5,2.8,5.1,6.2,12.6,2.3,35.4
2021,Nakkila,Satakunta,5169.0,1.8,3.2,3.6,5.5,5.9,12.2,1.8,35.0
2022,Nakkila,Satakunta,5072.0,1.7,3.2,2.2,5.0,5.3,11.7,3.3,32.9
1990,Savonlinna,South Savo,41359.0,41.8,19.7,68.0,74.7,52.8,87.1,10.7,355.2
2005,Savonlinna,South Savo,38451.0,29.5,18.8,44.2,58.1,37.4,81.4,7.9,287.0
2010,Savonlinna,South Savo,37059.0,19.9,19.9,73.4,67.3,37.8,78.5,5.4,312.8
2015,Savonlinna,South Savo,35523.0,19.5,17.4,27.8,39.9,34.4,68.5,4.6,221.2
2016,Savonlinna,South Savo,35242.0,19.1,17.3,32.2,43.3,35.0,73.0,3.8,232.1
2017,Savonlinna,South Savo,34664.0,19.7,16.0,28.1,39.1,34.2,68.7,5.5,219.4
2018,Savonlinna,South Savo,33611.0,17.4,15.9,33.3,39.2,34.0,68.4,4.2,219.9
2019,Savonlinna,South Savo,32974.0,18.3,16.5,33.3,32.5,34.4,65.7,3.5,211.3
2020,Savonlinna,South Savo,32662.0,20.0,16.6,27.2,28.8,34.6,61.4,3.0,198.2
2021,Savonlinna,South Savo,32547.0,18.9,14.5,24.5,32.0,33.0,59.1,2.3,190.3
2022,Savonlinna,South Savo,32085.0,17.8,15.5,15.6,27.8,31.5,55.8,4.1,173.4
1990,Pieksaemaeki,South Savo,24128.0,23.1,11.4,70.7,41.1,30.9,51.8,4.2,233.6
2005,Pieksaemaeki,South Savo,20966.0,16.4,11.3,58.5,26.7,22.7,45.7,4.5,190.8
2010,Pieksaemaeki,South Savo,19869.0,14.4,13.5,69.6,30.9,22.3,46.1,3.2,205.7
2015,Pieksaemaeki,South Savo,18801.0,9.2,15.3,44.1,16.9,19.7,38.3,2.7,151.6
2016,Pieksaemaeki,South Savo,18475.0,8.5,10.9,51.3,18.3,20.0,41.2,2.1,156.9
2017,Pieksaemaeki,South Savo,18220.0,8.0,11.3,41.8,16.6,18.4,38.9,2.6,141.9
2018,Pieksaemaeki,South Savo,17933.0,8.5,12.6,44.4,16.7,18.4,40.2,2.1,147.1
2019,Pieksaemaeki,South Savo,17682.0,8.3,11.6,37.0,15.4,18.8,37.7,1.8,134.8
2020,Pieksaemaeki,South Savo,17375.0,8.2,12.0,32.5,13.2,19.1,35.6,1.9,126.2
2021,Pieksaemaeki,South Savo,17253.0,8.5,11.2,29.9,14.5,18.2,34.3,1.5,121.5
2022,Pieksaemaeki,South Savo,17077.0,8.1,10.4,21.0,12.6,17.1,33.3,2.5,108.0
1990,Vaasa,Ostrobothnia,58394.0,45.8,13.2,187.6,73.4,14.5,146.3,18.9,500.1
2005,Vaasa,Ostrobothnia,61889.0,26.6,12.0,220.1,52.7,11.2,124.8,47.2,508.0
2010,Vaasa,Ostrobothnia,64345.0,23.3,13.6,280.1,59.1,9.5,122.9,33.3,558.6
2015,Vaasa,Ostrobothnia,67619.0,19.8,12.8,123.3,33.1,7.8,106.2,17.5,335.9
2016,Vaasa,Ostrobothnia,67620.0,18.4,13.4,135.4,36.1,8.3,114.8,16.4,357.9
2017,Vaasa,Ostrobothnia,67392.0,17.9,14.0,102.6,33.0,7.7,104.8,15.0,308.5
2018,Vaasa,Ostrobothnia,67552.0,17.4,13.6,120.5,33.4,7.8,104.4,15.6,325.5
2019,Vaasa,Ostrobothnia,67636.0,17.0,14.5,117.0,31.3,8.0,99.7,12.5,312.1
2020,Vaasa,Ostrobothnia,67551.0,15.9,13.1,88.6,26.6,8.0,91.5,16.1,271.2
2021,Vaasa,Ostrobothnia,67615.0,15.5,22.2,102.8,28.0,7.3,85.7,12.7,284.7
2022,Vaasa,Ostrobothnia,67988.0,14.8,11.4,111.8,24.6,6.7,79.2,12.3,270.7
1990,Imatra,South Karelia,33566.0,21.5,6.7,60.9,56.7,5.9,69.4,11.1,232.5
2005,Imatra,South Karelia,29529.0,8.3,6.6,58.1,44.6,4.9,63.3,8.6,201.1
2010,Imatra,South Karelia,28540.0,10.9,6.1,76.7,48.8,4.2,58.1,4.9,217.3
2015,Imatra,South Karelia,27835.0,7.3,7.8,51.7,27.1,3.6,50.4,3.8,158.9
2016,Imatra,South Karelia,27517.0,7.6,6.1,30.0,29.8,3.6,53.7,3.2,140.3
2017,Imatra,South Karelia,27269.0,7.7,6.0,21.2,28.0,3.3,49.3,4.2,126.3
2018,Imatra,South Karelia,26932.0,6.7,6.1,23.0,27.3,3.3,49.6,3.4,125.6
2019,Imatra,South Karelia,26508.0,9.9,6.1,18.9,24.7,3.2,47.3,2.9,118.9
2020,Imatra,South Karelia,26075.0,9.4,6.7,15.6,21.8,3.2,43.1,2.9,107.6
2021,Imatra,South Karelia,25655.0,8.9,5.5,17.2,23.8,3.1,40.5,2.2,106.3
2022,Imatra,South Karelia,25208.0,8.3,4.7,12.2,19.3,3.0,37.5,3.5,92.7
1990,Naantali,Southwest Finland,14622.0,14.7,6.2,45.8,24.7,6.7,51.3,5.7,155.4
2005,Naantali,Southwest Finland,17788.0,8.5,6.2,56.0,19.4,5.2,56.4,3.9,159.2
2010,Naantali,Southwest Finland,18807.0,7.8,6.9,75.7,23.2,5.4,60.7,2.8,187.0
2015,Naantali,Southwest Finland,18961.0,6.2,5.9,44.5,12.5,5.1,53.8,2.5,134.5
2016,Naantali,Southwest Finland,19068.0,5.8,5.4,40.4,14.1,5.0,54.5,2.1,131.0
2017,Naantali,Southwest Finland,19167.0,5.6,6.3,40.7,13.1,5.0,52.1,2.7,128.9
2018,Naantali,Southwest Finland,19245.0,5.5,7.2,49.6,14.5,4.8,53.2,2.2,140.5
2019,Naantali,Southwest Finland,19314.0,5.2,5.9,37.2,12.9,5.0,42.8,1.8,114.3
2020,Naantali,Southwest Finland,19427.0,5.0,6.9,17.9,11.1,4.8,39.2,1.8,89.9
2021,Naantali,Southwest Finland,19579.0,4.8,6.0,24.2,12.7,4.5,34.5,1.4,91.2
2022,Naantali,Southwest Finland,19850.0,4.6,7.1,21.6,11.3,4.3,32.6,2.4,86.5
1990,Raisio,Southwest Finland,21120.0,21.1,6.0,43.4,24.1,0.7,48.1,4.7,148.1
2005,Raisio,Southwest Finland,23799.0,11.2,6.2,74.4,22.3,0.5,51.7,4.8,175.7
2010,Raisio,Southwest Finland,24427.0,10.3,5.3,96.6,23.0,0.5,47.8,3.7,192.9
2015,Raisio,Southwest Finland,24290.0,8.0,4.7,56.3,12.9,0.3,40.9,3.1,131.3
2016,Raisio,Southwest Finland,24283.0,7.5,4.7,59.9,14.2,0.3,45.1,2.6,139.6
2017,Raisio,Southwest Finland,24234.0,7.2,5.0,54.5,13.0,0.3,43.1,3.3,130.9
2018,Raisio,Southwest Finland,24178.0,7.0,5.6,45.5,13.5,0.3,44.4,2.7,123.5
2019,Raisio,Southwest Finland,24056.0,6.5,6.4,33.5,11.9,0.4,41.5,2.3,106.6
2020,Raisio,Southwest Finland,24407.0,6.3,7.3,22.2,10.3,0.4,39.6,2.6,92.7
2021,Raisio,Southwest Finland,24810.0,6.1,6.4,28.9,11.6,0.4,38.4,2.0,97.4
2022,Raisio,Southwest Finland,24942.0,5.8,7.3,24.8,9.6,0.4,35.7,3.0,90.1
1990,Loviisa,Uusimaa,16970.0,13.8,12.7,15.3,38.8,28.9,40.1,8.7,158.5
2005,Loviisa,Uusimaa,15683.0,10.3,13.2,21.9,30.6,23.1,44.5,8.0,155.6
2010,Loviisa,Uusimaa,15595.0,10.8,12.7,38.0,35.1,20.3,42.8,6.0,170.5
2015,Loviisa,Uusimaa,15311.0,8.0,12.1,13.7,19.7,18.5,36.0,5.3,117.8
2016,Loviisa,Uusimaa,15208.0,7.6,11.2,15.4,21.8,18.7,39.1,4.4,122.2
2017,Loviisa,Uusimaa,15085.0,7.5,12.1,9.6,20.1,17.6,37.3,5.6,113.6
2018,Loviisa,Uusimaa,14891.0,7.4,11.1,11.5,19.9,16.4,38.2,4.5,112.7
2019,Loviisa,Uusimaa,14772.0,7.2,11.7,8.6,17.8,16.7,36.5,3.8,106.0
2020,Loviisa,Uusimaa,14745.0,6.9,11.1,7.7,15.3,16.6,35.3,3.9,100.0
2021,Loviisa,Uusimaa,14643.0,6.7,10.3,10.3,16.9,15.5,34.6,3.1,100.5
2022,Loviisa,Uusimaa,14568.0,6.3,10.0,7.8,15.3,14.9,32.8,5.3,94.8
1990,Karkkila,Uusimaa,8925.0,7.3,4.3,6.0,17.5,8.7,21.2,9.3,74.4
2005,Karkkila,Uusimaa,8807.0,6.1,3.7,12.2,14.7,4.8,21.8,3.4,68.5
2010,Karkkila,Uusimaa,9209.0,5.7,3.3,22.9,15.2,4.7,21.4,2.0,77.8
2015,Karkkila,Uusimaa,8969.0,4.6,3.2,15.8,9.5,4.4,18.3,1.9,60.0
2016,Karkkila,Uusimaa,8911.0,4.5,3.4,18.2,10.3,4.0,20.3,1.7,64.9
2017,Karkkila,Uusimaa,8900.0,4.2,3.3,17.6,9.7,3.9,19.2,2.1,62.1
2018,Karkkila,Uusimaa,8778.0,3.8,3.1,19.0,9.7,3.8,19.0,1.7,62.1
2019,Karkkila,Uusimaa,8714.0,3.8,3.5,17.2,8.5,4.0,18.4,1.6,58.7
2020,Karkkila,Uusimaa,8696.0,3.3,3.4,14.6,7.6,3.9,17.5,1.6,53.7
2021,Karkkila,Uusimaa,8717.0,3.0,3.0,13.4,8.3,3.9,16.4,1.5,51.1
2022,Karkkila,Uusimaa,8603.0,2.9,2.9,9.4,7.1,3.8,16.1,2.2,45.9
1990,Siuntio,Uusimaa,4221.0,3.8,4.2,4.3,8.6,8.8,10.9,0.7,41.4
2005,Siuntio,Uusimaa,5422.0,3.6,4.3,5.0,9.1,6.9,11.9,0.7,42.5
2010,Siuntio,Uusimaa,6104.0,3.7,4.0,8.7,12.1,7.0,13.9,0.6,51.1
2015,Siuntio,Uusimaa,6182.0,3.1,3.8,5.0,6.2,6.3,12.3,0.5,38.7
2016,Siuntio,Uusimaa,6178.0,3.0,3.9,4.4,6.9,6.4,13.5,0.4,40.2
2017,Siuntio,Uusimaa,6146.0,2.8,3.8,3.0,6.4,6.1,12.9,0.5,37.0
2018,Siuntio,Uusimaa,6134.0,2.7,3.8,3.5,6.4,6.0,12.7,0.4,36.9
2019,Siuntio,Uusimaa,6145.0,2.6,4.0,2.9,5.8,6.6,12.4,0.3,36.2
2020,Siuntio,Uusimaa,6149.0,2.4,3.6,2.3,5.1,6.4,11.2,0.3,32.8
2021,Siuntio,Uusimaa,6198.0,2.2,3.9,2.8,5.7,5.6,10.7,0.3,32.4
2022,Siuntio,Uusimaa,6217.0,2.1,4.2,2.0,5.1,5.3,10.1,0.5,30.4
1990,Hattula,Kanta-Haeme,8724.0,7.8,5.9,7.0,17.6,16.5,17.7,1.7,74.3
2005,Hattula,Kanta-Haeme,9332.0,5.5,6.2,6.1,17.6,14.0,22.1,1.7,75.0
2010,Hattula,Kanta-Haeme,9657.0,4.6,5.9,12.0,22.9,12.8,25.3,1.2,86.6
2015,Hattula,Kanta-Haeme,9747.0,3.2,5.8,6.7,14.1,11.9,21.8,1.2,66.6
2016,Hattula,Kanta-Haeme,9682.0,2.9,5.5,7.2,15.0,11.4,23.5,0.9,67.9
2017,Hattula,Kanta-Haeme,9610.0,2.6,5.9,5.9,14.8,10.6,22.4,1.2,64.9
2018,Hattula,Kanta-Haeme,9475.0,2.5,5.5,6.6,14.6,10.8,22.3,1.0,65.0
2019,Hattula,Kanta-Haeme,9422.0,2.5,5.8,5.9,13.6,10.7,22.3,0.9,63.0
2020,Hattula,Kanta-Haeme,9389.0,2.6,5.7,4.9,11.8,10.2,20.9,0.9,58.4
2021,Hattula,Kanta-Haeme,9405.0,2.6,5.0,6.3,13.4,9.6,20.4,0.7,59.1
2022,Hattula,Kanta-Haeme,9359.0,2.5,4.6,3.9,11.3,9.3,19.7,1.3,53.8
1990,Orimattila,Paeijaet-Haeme,15805.0,12.6,15.6,15.6,34.6,56.1,36.9,9.3,180.9
2005,Orimattila,Paeijaet-Haeme,16154.0,7.8,15.5,21.4,32.8,42.4,43.8,8.0,175.2
2010,Orimattila,Paeijaet-Haeme,16309.0,7.0,15.0,31.0,35.8,41.3,45.7,5.3,185.2
2015,Orimattila,Paeijaet-Haeme,16326.0,5.7,14.5,11.9,19.9,39.8,38.4,4.3,138.0
2016,Orimattila,Paeijaet-Haeme,16279.0,5.6,14.1,13.1,21.5,41.3,41.6,3.6,143.8
2017,Orimattila,Paeijaet-Haeme,16221.0,5.2,14.3,10.5,19.8,41.7,39.7,4.6,138.7
2018,Orimattila,Paeijaet-Haeme,16091.0,5.2,14.0,12.3,19.3,41.1,40.2,3.7,138.8
2019,Orimattila,Paeijaet-Haeme,16003.0,5.1,13.8,9.8,18.7,42.5,40.1,3.2,135.9
2020,Orimattila,Paeijaet-Haeme,15882.0,5.0,13.7,7.8,17.3,41.8,37.0,3.1,128.1
2021,Orimattila,Paeijaet-Haeme,15808.0,4.9,12.6,9.4,19.2,39.5,35.7,2.1,125.8
2022,Orimattila,Paeijaet-Haeme,15735.0,4.7,12.3,9.3,17.0,38.2,33.6,4.4,121.7
