year,region,energy_use_in_tj,oil_gas_floor_area_m2,coal_coke_floor_area_m2,wood_peat_floor_area_m2,other_floor_area_m2,wood_fuels_in_1000m3,population
2014,Lapland,41157,3376039,7754,1945824,904598,1239,181748
2014,Aaland,244,881241,2428,196406,159995,72,28916
2015,Uusimaa,72653,15909418,338705,2098485,3692932,1209,1620261
2015,Southwest Finland,17547,10680270,148076,2651541,2052351,490,474323
2015,Kanta-Haeme,7368,3147044,64949,1166404,718976,371,174710
2015,Paeijaet-Haeme,10980,3393043,17340,1327894,610993,695,208525
2015,Kymenlaakso,43125,4957775,60402,993558,1196324,1061,171778
2015,South Karelia,70100,2129920,52808,1047020,633469,1784,131155
2015,Satakunta,37716,6241020,131219,1950061,1781415,1208,222957
2015,Pirkanmaa,22449,8803143,65613,2779324,1646674,1243,508448
2015,Central Finland,29301,4504889,88738,2531558,850282,1942,273446
2015,South Ostrobothnia,5427,5088921,4461,3173346,909835,467,197371
2015,Ostrobothnia,23248,4456183,87524,1520482,988762,1095,176894
2015,South Savo,4794,2419753,4298,1995265,519545,1065,141621
2015,North Savo,14446,3136659,13074,2581004,850510,1202,253239
2015,North Karelia,19466,2447943,2455,2046077,690257,1199,168329
2015,Central Ostrobothnia,7426,1519304,3052,628093,351964,189,69032
2015,North Ostrobothnia,61821,4806250,36443,3278111,1385093,1250,410054
2015,Kainuu,1621,892168,1439,1051589,255186,479,75324
2015,Lapland,57417,3385847,6598,1949180,923331,1337,180858
2015,Aaland,274,880585,2428,198134,163692,73,28983
2016,Uusimaa,64814,15930478,344298,2113456,3928233,1245,1638293
2016,Southwest Finland,14857,10620096,147671,2694123,2020792,621,475543
2016,Kanta-Haeme,6926,3164731,64917,1172855,705433,439,173781
2016,Paeijaet-Haeme,9602,3387992,17658,1335253,663937,754,208574
2016,Kymenlaakso,46131,4906941,59981,993726,1173996,1240,170770
2016,South Karelia,71830,2118703,52812,1048347,641218,1837,130506
2016,Satakunta,37837,6241816,131149,1959007,1828864,1362,221740
2016,Pirkanmaa,22889,8796051,64948,2805695,1738022,1367,511642
2016,Central Finland,28908,4480801,88678,2585950,946627,1883,273910
2016,South Ostrobothnia,6660,5104229,4461,3232409,916423,535,196572
2016,Ostrobothnia,24318,4399476,85548,1524198,1019028,1319,176729
2016,South Savo,4318,2403177,4298,1991135,536316,1042,140422
2016,North Savo,16940,3120093,13684,2595109,854888,1295,252815
2016,North Karelia,19374,2418243,2461,2088681,685345,1123,167599
2016,Central Ostrobothnia,7998,1491085,3052,634630,346703,163,69027
2016,North Ostrobothnia,62542,4774537,36475,3288703,1397262,1320,411150
2016,Kainuu,3091,876829,1439,1048221,257179,428,74803
2016,Lapland,57286,3374376,6724,1951137,884122,1436,180207
2016,Aaland,287,882255,2428,199504,165289,74,29214
2017,Uusimaa,71422,15029940,366011,2128163,4122353,1283,1655624
2017,Southwest Finland,18237,9944278,149295,2702183,2089209,835,477677
2017,Kanta-Haeme,7230,3055355,42391,1178286,733042,417,172720
2017,Paeijaet-Haeme,8700,3381797,17773,1341707,688946,714,208048
2017,Kymenlaakso,45216,4794545,59051,988151,1203654,1234,168691
2017,South Karelia,77177,2064724,52450,1044716,637154,2066,129865
2017,Satakunta,34250,5937898,131364,1961284,1852103,1187,220398
2017,Pirkanmaa,21024,8529902,64650,2817431,1767960,1403,514333
2017,Central Finland,36520,4244750,88679,2591013,952194,2020,273779
2017,South Ostrobothnia,5844,4952808,4775,3237069,948639,496,195583
2017,Ostrobothnia,25762,4236821,84447,1531996,1066792,1293,176272
2017,South Savo,4565,2267231,4298,2013514,556507,1036,138822
2017,North Savo,17102,2842104,13836,2596510,879047,1325,251570
2017,North Karelia,19268,2250185,2461,2079405,700235,1141,166441
2017,Central Ostrobothnia,7725,1391878,3052,635423,363203,210,68780
2017,North Ostrobothnia,60421,4450689,35254,3267238,1422612,1385,411856
2017,Kainuu,3185,781770,1439,1020895,266510,416,73959
2017,Lapland,55090,3107945,6898,1937400,911023,1426,179223
2017,Aaland,253,855710,2428,197753,169199,79,29489
2018,Uusimaa,73753,14937328,367648,2120184,4212930,1256,1671024
2018,Southwest Finland,17369,9907771,146565,2705054,2129122,1154,478582
2018,Kanta-Haeme,7390,3051794,42423,1180259,751056,416,171364
2018,Paeijaet-Haeme,8077,3426195,12335,1343453,681192,609,207394
2018,Kymenlaakso,46203,4735673,59352,991481,1226165,1142,166623
2018,South Karelia,75980,2066659,52255,1045562,643848,1939,128756
2018,Satakunta,34857,5916403,132419,1969412,1875367,1250,218624
2018,Pirkanmaa,19641,8510384,63717,2817929,1799297,1366,517333
2018,Central Finland,49323,4204915,88679,2566023,895020,2116,273283
2018,South Ostrobothnia,5554,4944704,4775,3249916,953154,497,194316
2018,Ostrobothnia,24878,4202611,83832,1540066,1079079,1324,176193
2018,South Savo,4850,2233605,4773,2006425,559992,1028,136474
2018,North Savo,16982,2792770,13836,2608328,863741,1350,250414
2018,North Karelia,19067,2061905,2461,2098171,700740,1220,165569
2018,Central Ostrobothnia,7559,1395600,3052,640426,384785,217,68437
2018,North Ostrobothnia,63950,4405624,32870,3258761,1449007,1309,412161
2018,Kainuu,2631,778491,1321,1019340,271617,435,73061
2018,Lapland,56635,3080932,6808,1966487,915991,1367,178522
2018,Aaland,255,847414,2428,197962,171010,74,29789
2019,Uusimaa,73369,14484655,360724,2106506,4313071,1524,1689725
2019,Southwest Finland,17776,9638260,142505,2694205,2228434,1428,479341
2019,Kanta-Haeme,6455,3015740,41078,1172852,757350,413,170925
2019,Paeijaet-Haeme,8273,3311069,12174,1329780,689525,704,206315
2019,Kymenlaakso,46725,4624806,58660,984611,1232744,1183,164456
2019,South Karelia,75796,2018454,51460,1039667,644573,1988,127757
2019,Satakunta,34587,5830426,124933,1971431,1892834,1153,216752
2019,Pirkanmaa,19251,8371513,63247,2808356,1821443,1419,519872
2019,Central Finland,52751,4050750,88271,2550438,913155,2028,272898
2019,South Ostrobothnia,4525,4848231,4584,3247071,956425,519,193207
2019,Ostrobothnia,25860,4131043,77083,1541060,1088658,1232,175923
2019,South Savo,4041,2143936,3800,1996601,546861,1005,134314
2019,North Savo,17382,2708746,13954,2590031,877748,1386,249003
2019,North Karelia,19389,1959756,1714,2092138,706136,1181,164465
2019,Central Ostrobothnia,6990,1383340,3119,645026,398469,206,68158
2019,North Ostrobothnia,55494,4263269,31622,3242870,1492013,1272,412830
2019,Kainuu,2819,773627,991,1015434,273932,433,72306
2019,Lapland,56321,2981953,6808,1930865,929803,1408,177161
2019,Aaland,261,838863,2428,198752,176864,64,29884
2020,Uusimaa,66714,14436096,360617,2139946,4653712,1626,1702678
2020,Southwest Finland,17985,9690136,142581,2802007,2545971,1418,481403
2020,Kanta-Haeme,6364,3038274,40732,1197891,803807,417,170577
2020,Paeijaet-Haeme,8061,3098626,18402,1356723,734938,789,205771
2020,Kymenlaakso,43832,4652342,56154,980640,1350650,1042,162812
2020,South Karelia,71641,2032599,51984,1063168,715396,1842,126921
2020,Satakunta,31307,5864718,124948,1996448,1904257,952,215416
2020,Pirkanmaa,18234,8226273,61840,2937433,1735576,1366,522852
2020,Central Finland,45788,4002520,86357,2575805,991718,1879,272617
2020,South Ostrobothnia,4601,4780526,4584,3247707,983322,510,192150
2020,Ostrobothnia,24329,4160440,74538,1536037,1181437,1109,175816
2020,South Savo,3853,2125311,3800,2048682,489701,926,132702
2020,North Savo,16382,2667951,14033,2647034,860582,1231,248265
2020,North Karelia,19689,1945553,1714,2137128,686780,1119,163537
2020,Central Ostrobothnia,7061,1373004,3147,648536,486526,202,67988
2020,North Ostrobothnia,50775,4179428,31817,3289364,1556514,1237,413830
2020,Kainuu,2898,768040,991,1059002,293061,371,71664
2020,Lapland,53220,2936363,6810,1884355,939291,1187,176665
2020,Aaland,234,851359,2548,204069,174241,66,30129
2021,Uusimaa,64062,14029080,342183,2113610,4716668,2065,1714741
2021,Southwest Finland,12735,9427224,136501,2752905,2581985,1607,483477
2021,Kanta-Haeme,6715,3040607,40443,1174554,831021,508,170213
2021,Paeijaet-Haeme,8842,3111331,18402,1342240,734486,1046,205124
2021,Kymenlaakso,46565,4548414,55584,956173,1367578,1262,161391
2021,South Karelia,75577,2035353,51454,1061740,727590,2051,126107
2021,Satakunta,33690,5819724,116173,1985906,1897619,1305,214281
2021,Pirkanmaa,19557,8130079,60750,2884383,1776130,1621,527478
2021,Central Finland,44479,3919710,86357,2545715,996668,2392,272683
2021,South Ostrobothnia,4728,4776929,4569,3253580,1013600,772,191762
2021,Ostrobothnia,27306,4050240,73699,1529631,1186364,1323,176041
2021,South Savo,4420,2110087,3729,2032601,519547,1065,131688
2021,North Savo,16857,2625473,13881,2633420,870703,1526,248363
2021,North Karelia,20209,1919496,1714,2122060,714049,1264,163281
2021,Central Ostrobothnia,8660,1360084,3147,641094,486710,288,67915
2021,North Ostrobothnia,57266,4148177,35424,3265124,1606360,1843,415603
2021,Kainuu,3746,734416,991,1056609,299548,558,71255
2021,Lapland,54127,2903504,6810,1867658,986133,1474,176494
2021,Aaland,112,838458,2293,195497,172754,78,30344
2022,Uusimaa,66819,13856463,342331,2090926,5059104,2003,1733033
2022,Southwest Finland,11877,9330725,135576,2734926,2633523,1498,485567
2022,Kanta-Haeme,6561,3044183,39609,1170723,853388,511,169537
2022,Paeijaet-Haeme,8486,3080729,18035,1338222,750354,1047,204528
2022,Kymenlaakso,41102,4446516,54446,948157,1451289,1160,159488
2022,South Karelia,68372,2033221,51142,1054558,731856,2094,125353
2022,Satakunta,30224,5785913,115782,1974764,1942357,1295,212556
2022,Pirkanmaa,18105,8038035,59981,2864433,1898344,1585,532671
2022,Central Finland,42190,3678307,86357,2509572,988653,2197,272437
2022,South Ostrobothnia,5081,4747053,4511,3242247,1046973,799,190774
2022,Ostrobothnia,19074,4034580,73731,1523930,1200327,1393,176323
2022,South Savo,4636,2052087,3708,2019458,559707,1081,130451
2022,North Savo,16153,2593891,13706,2612100,901782,1477,247689
2022,North Karelia,18264,1903019,1714,2120288,739689,1133,162540
2022,Central Ostrobothnia,8416,1366143,3147,636005,479298,277,67805
2022,North Ostrobothnia,51882,4051787,35680,3228521,1698316,1818,416543
2022,Kainuu,3505,742403,991,1046019,314316,477,70521
2022,Lapland,41039,2890625,6810,1854108,997050,1095,175795
2022,Aaland,239,840378,2293,196414,185201,79,30359
