year,region,industry_energy_use_in_tj,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2012,South Savo,4325,2479776,4298,1975789,479545,1042,144393,73.5,46059,12453,122778,6001,54
2012,North Savo,18448,3158811,13074,2563848,828244,1092,253524,148.6,122045,29708,34221,3802,287
2012,North Karelia,24089,2482962,2455,2028710,641689,1050,169496,86.1,57178,9329,28204,5121,144
2012,Central Ostrobothnia,8073,1528891,3052,623723,357745,247,68610,56.9,55849,16451,74,2083,0
2012,North Ostrobothnia,70606,5020760,36661,3250791,1321780,1404,403920,227.4,133430,57402,15499,10585,97
2012,Kainuu,3477,922509,1439,1057958,239533,517,77435,32.2,22710,1418,9878,3064,19
2012,Lapland,51354,3405999,8198,1935269,878836,1354,182844,45.1,34514,0,4895,15901,123
2012,Aaland,343,879765,2428,194111,150698,71,28501,19.1,7902,0,16214,12531,32
2013,Uusimaa,79865,15600232,314809,2061984,3557090,1137,1585473,180.6,22583,32537,12969,8074,265
2013,Southwest Finland,18221,10647736,145082,2594204,1979195,499,470880,293.2,36667,360959,4109437,17281,362
2013,Kanta-Haeme,6613,3183181,65033,1130161,708034,440,175481,104.1,21961,52572,158557,3704,35
2013,Paeijaet-Haeme,10453,3421931,17645,1319232,593130,745,209405,82.5,23281,31284,4012,2703,24
2013,Kymenlaakso,42539,4985050,62220,983142,1144268,1047,173864,83.7,16179,9386,5249,3246,22
2013,South Karelia,71682,2122322,50371,1034293,612340,1706,132252,53.1,20820,19922,24578,1902,0
2013,Satakunta,41012,6237260,131815,1924626,1746399,1335,224556,140.2,32237,145311,2794172,5482,68
2013,Pirkanmaa,23380,8837573,67081,2733796,1646384,1182,502575,163.3,51736,97646,939078,8414,1476
2013,Central Finland,32227,4598423,94034,2545750,919887,2001,272911,93.5,50045,13334,52425,8004,30
2013,South Ostrobothnia,5509,5120152,4341,3121142,884952,486,198831,246.0,109582,225308,3133433,6425,1423
2013,Ostrobothnia,22394,4497144,87981,1520381,965596,1092,175530,137.7,48347,193347,456849,10425,171
2013,South Savo,4747,2465641,4298,1978295,511405,1058,143638,71.7,45869,12314,173036,6661,47
2013,North Savo,15393,3147587,13074,2552041,831171,1168,253643,146.4,121345,30590,33191,4326,283
2013,North Karelia,25571,2468795,2455,2026343,672651,1311,169112,84.7,57095,9872,33488,4772,103
2013,Central Ostrobothnia,7833,1522287,3052,625141,346595,226,68677,56.9,55475,14390,188,2647,0
2013,North Ostrobothnia,69499,4834384,36472,3253451,1348445,1386,406480,226.8,133362,58245,15670,11062,100
2013,Kainuu,2280,913785,1321,1053096,247097,522,76782,31.2,23065,0,10006,2518,14
2013,Lapland,55286,3374953,7748,1936664,908316,1309,182514,44.1,33966,0,4820,14774,27
2013,Aaland,283,878053,2428,194718,160260,68,28666,19.0,8232,0,19397,13126,44
2014,Uusimaa,93282,15552283,310723,2074948,3591613,1204,1603388,180.8,22696,30262,14814,8352,234
2014,Southwest Finland,18994,10567952,144063,2621678,2005534,433,472725,293.6,37731,350476,4793277,18266,363
2014,Kanta-Haeme,6690,3136264,65189,1157545,720726,386,175350,103.9,22249,47736,148176,3690,33
2014,Paeijaet-Haeme,9207,3422593,17340,1328429,602296,840,208959,82.5,23386,29778,11649,2632,25
2014,Kymenlaakso,43896,4977124,62308,986856,1145437,1130,172908,83.6,15977,8501,5317,2978,24
2014,South Karelia,70327,2122184,50538,1039890,616467,1731,131764,53.1,20309,16548,17721,2049,0
2014,Satakunta,38564,6246845,131367,1939381,1761543,1311,223983,140.5,31852,137583,2374503,5006,140
2014,Pirkanmaa,23309,8813421,67242,2762310,1710457,1132,505756,164.1,52678,91579,993866,9176,1358
2014,Central Finland,31595,4583507,94034,2562388,949419,1929,272986,93.8,49935,10737,52849,7853,35
2014,South Ostrobothnia,5674,5108183,4461,3147496,897663,505,198242,246.9,110263,216652,3305116,6937,1395
2014,Ostrobothnia,24680,4483211,87641,1521887,974884,1080,176314,138.1,48981,190566,552374,10975,181
2014,South Savo,4507,2450071,4298,1993893,517262,1070,142746,71.7,45808,11853,185862,7180,61
2014,North Savo,15872,3151078,13074,2566452,833003,1357,253585,147.6,121774,26427,34855,4651,255
2014,North Karelia,20342,2448038,2455,2045954,682596,1232,168896,85.0,55968,7014,30240,4504,77
2014,Central Ostrobothnia,7463,1522525,3052,628367,344088,195,68832,57.2,55282,13240,131,3163,0
2014,North Ostrobothnia,65797,4821051,36842,3274449,1368376,1340,408536,228.3,133744,54720,19725,11112,80
2014,Kainuu,2088,899566,1439,1051576,250357,504,76119,31.5,23547,899,10252,2663,0
2014,Lapland,41157,3376039,7754,1945824,904598,1239,181748,44.3,33671,0,5075,14379,22
2014,Aaland,244,881241,2428,196406,159995,72,28916,20.8,8468,0,21056,12322,60
2015,Uusimaa,72653,15909418,338705,2098485,3692932,1209,1620261,181.6,23499,30674,13483,8494,163
2015,Southwest Finland,17547,10680270,148076,2651541,2052351,490,474323,294.2,38437,361367,4656297,20896,321
2015,Kanta-Haeme,7368,3147044,64949,1166404,718976,371,174710,104.2,22245,48176,142030,4493,41
2015,Paeijaet-Haeme,10980,3393043,17340,1327894,610993,695,208525,82.2,22759,27251,13836,3908,64
2015,Kymenlaakso,43125,4957775,60402,993558,1196324,1061,171778,83.7,15805,9052,9365,3433,20
2015,South Karelia,70100,2129920,52808,1047020,633469,1784,131155,53.2,19923,16448,20088,2171,9
2015,Satakunta,37716,6241020,131219,1950061,1781415,1208,222957,140.8,31469,134291,2449600,5571,133
2015,Pirkanmaa,22449,8803143,65613,2779324,1646674,1243,508448,164.8,53232,87846,1001554,10868,1298
2015,Central Finland,29301,4504889,88738,2531558,850282,1942,273446,94.5,49430,10806,52614,8949,36
2015,South Ostrobothnia,5427,5088921,4461,3173346,909835,467,197371,247.9,112163,209226,3699504,8391,1720
2015,Ostrobothnia,23248,4456183,87524,1520482,988762,1095,176894,138.1,49590,189992,583594,12331,153
2015,South Savo,4794,2419753,4298,1995265,519545,1065,141621,72.1,45005,10820,166721,7384,61
2015,North Savo,14446,3136659,13074,2581004,850510,1202,253239,148.5,121374,27900,35751,5204,271
2015,North Karelia,19466,2447943,2455,2046077,690257,1199,168329,85.9,55526,6988,29499,5193,70
2015,Central Ostrobothnia,7426,1519304,3052,628093,351964,189,69032,57.3,54541,16014,229,4576,0
2015,North Ostrobothnia,61821,4806250,36443,3278111,1385093,1250,410054,229.9,134015,54394,16423,13525,87
2015,Kainuu,1621,892168,1439,1051589,255186,479,75324,32.0,23662,1069,15559,3148,0
2015,Lapland,57417,3385847,6598,1949180,923331,1337,180858,44.8,33250,0,5163,14906,36
2015,Aaland,274,880585,2428,198134,163692,73,28983,17.3,8792,0,15622,11797,0
2016,Uusimaa,64814,15930478,344298,2113456,3928233,1245,1638293,181.4,23350,30359,8916,8465,170
2016,Southwest Finland,14857,10620096,147671,2694123,2020792,621,475543,294.3,38300,344685,4650891,21175,296
2016,Kanta-Haeme,6926,3164731,64917,1172855,705433,439,173781,104.0,22196,47156,170434,4570,35
2016,Paeijaet-Haeme,9602,3387992,17658,1335253,663937,754,208574,82.3,22444,29363,13742,4576,55
2016,Kymenlaakso,46131,4906941,59981,993726,1173996,1240,170770,84.0,15827,8146,8202,3241,14
2016,South Karelia,71830,2118703,52812,1048347,641218,1837,130506,52.9,19564,15928,26543,2379,16
2016,Satakunta,37837,6241816,131149,1959007,1828864,1362,221740,140.9,32193,135128,2934042,5130,302
2016,Pirkanmaa,22889,8796051,64948,2805695,1738022,1367,511642,165.1,52831,86408,1152570,11752,1322
2016,Central Finland,28908,4480801,88678,2585950,946627,1883,273910,94.0,48548,9592,48598,9129,31
2016,South Ostrobothnia,6660,5104229,4461,3232409,916423,535,196572,248.9,112642,215322,3619578,8441,1649
2016,Ostrobothnia,24318,4399476,85548,1524198,1019028,1319,176729,138.3,50156,198174,557625,12059,322
2016,South Savo,4318,2403177,4298,1991135,536316,1042,140422,72.4,44035,10946,144237,7726,32
2016,North Savo,16940,3120093,13684,2595109,854888,1295,252815,149.0,119878,24783,30992,5325,306
2016,North Karelia,19374,2418243,2461,2088681,685345,1123,167599,85.6,54440,7074,25893,4828,60
2016,Central Ostrobothnia,7998,1491085,3052,634630,346703,163,69027,57.5,54631,15960,176,5003,0
2016,North Ostrobothnia,62542,4774537,36475,3288703,1397262,1320,411150,236.8,137021,54248,16522,14295,66
2016,Kainuu,3091,876829,1439,1048221,257179,428,74803,25.7,19358,1218,15371,2765,0
2016,Lapland,57286,3374376,6724,1951137,884122,1436,180207,44.8,32304,0,2664,13773,38
2016,Aaland,287,882255,2428,199504,165289,74,29214,16.9,9303,0,17861,11864,61
2017,Uusimaa,71422,15029940,366011,2128163,4122353,1283,1655624,181.1,22655,26380,9757,7790,1322
2017,Southwest Finland,18237,9944278,149295,2702183,2089209,835,477677,293.8,38221,328446,5173930,21829,368
2017,Kanta-Haeme,7230,3055355,42391,1178286,733042,417,172720,104.0,21560,42276,154671,4734,38
2017,Paeijaet-Haeme,8700,3381797,17773,1341707,688946,714,208048,81.9,21990,26075,13103,4512,29
2017,Kymenlaakso,45216,4794545,59051,988151,1203654,1234,168691,84.0,15185,5726,8550,4076,0
2017,South Karelia,77177,2064724,52450,1044716,637154,2066,129865,52.7,19129,11652,20836,2442,10
2017,Satakunta,34250,5937898,131364,1961284,1852103,1187,220398,140.9,31998,126903,2749292,5074,249
2017,Pirkanmaa,21024,8529902,64650,2817431,1767960,1403,514333,165.1,50833,76156,796006,11166,1430
2017,Central Finland,36520,4244750,88679,2591013,952194,2020,273779,93.7,47085,8449,48433,9696,17
2017,South Ostrobothnia,5844,4952808,4775,3237069,948639,496,195583,248.4,112340,200577,3325763,7744,1032
2017,Ostrobothnia,25762,4236821,84447,1531996,1066792,1293,176272,138.3,50046,186969,560498,12505,177
2017,South Savo,4565,2267231,4298,2013514,556507,1036,138822,72.0,42446,8163,162010,7599,27
2017,North Savo,17102,2842104,13836,2596510,879047,1325,251570,149.3,118159,21837,28774,5402,293
2017,North Karelia,19268,2250185,2461,2079405,700235,1141,166441,85.1,51842,4406,27734,4480,59
2017,Central Ostrobothnia,7725,1391878,3052,635423,363203,210,68780,57.7,53264,11362,36,4825,0
2017,North Ostrobothnia,60421,4450689,35254,3267238,1422612,1385,411856,237.4,135603,49423,17975,14138,56
2017,Kainuu,3185,781770,1439,1020895,266510,416,73959,25.6,19144,0,14961,2831,12
2017,Lapland,55090,3107945,6898,1937400,911023,1426,179223,44.5,32451,0,4855,13719,54
2017,Aaland,253,855710,2428,197753,169199,79,29489,16.7,9227,0,18436,11364,0
2018,Uusimaa,73753,14937328,367648,2120184,4212930,1256,1671024,181.2,21738,26355,13508,7409,1678
2018,Southwest Finland,17369,9907771,146565,2705054,2129122,1154,478582,293.4,39027,327947,5266686,22636,370
2018,Kanta-Haeme,7390,3051794,42423,1180259,751056,416,171364,103.9,21114,41895,177619,4861,248
2018,Paeijaet-Haeme,8077,3426195,12335,1343453,681192,609,207394,81.5,20941,25217,11292,4256,0
2018,Kymenlaakso,46203,4735673,59352,991481,1226165,1142,166623,83.9,14790,6735,14829,4250,43
2018,South Karelia,75980,2066659,52255,1045562,643848,1939,128756,52.6,18601,11153,19411,2612,7
2018,Satakunta,34857,5916403,132419,1969412,1875367,1250,218624,140.6,32432,128969,3043922,5177,264
2018,Pirkanmaa,19641,8510384,63717,2817929,1799297,1366,517333,165.3,49566,72312,1042310,11112,1294
2018,Central Finland,49323,4204915,88679,2566023,895020,2116,273283,93.8,46456,8069,85829,9236,13
