year,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,region,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2013,2465641,4298,1978295,511405,South Savo,1058,143638,71.7,45869,12314,173036,6661,47
2013,3147587,13074,2552041,831171,North Savo,1168,253643,146.4,121345,30590,33191,4326,283
2013,2468795,2455,2026343,672651,North Karelia,1311,169112,84.7,57095,9872,33488,4772,103
2013,4598423,94034,2545750,919887,Central Finland,2001,272911,93.5,50045,13334,52425,8004,30
2013,5120152,4341,3121142,884952,South Ostrobothnia,486,198831,246.0,109582,225308,3133433,6425,1423
2013,4497144,87981,1520381,965596,Ostrobothnia,1092,175530,137.7,48347,193347,456849,10425,171
2013,1522287,3052,625141,346595,Central Ostrobothnia,226,68677,56.9,55475,14390,188,2647,0
2013,4834384,36472,3253451,1348445,North Ostrobothnia,1386,406480,226.8,133362,58245,15670,11062,100
2013,913785,1321,1053096,247097,Kainuu,522,76782,31.2,23065,0,10006,2518,14
2013,3374953,7748,1936664,908316,Lapland,1309,182514,44.1,33966,0,4820,14774,27
2013,878053,2428,194718,160260,Aaland,68,28666,19.0,8232,0,19397,13126,44
2014,15552283,310723,2074948,3591613,Uusimaa,1204,1603388,180.8,22696,30262,14814,8352,234
2014,10567952,144063,2621678,2005534,Southwest Finland,433,472725,293.6,37731,350476,4793277,18266,363
2014,6246845,131367,1939381,1761543,Satakunta,1311,223983,140.5,31852,137583,2374503,5006,140
2014,3136264,65189,1157545,720726,Kanta-Haeme,386,175350,103.9,22249,47736,148176,3690,33
2014,8813421,67242,2762310,1710457,Pirkanmaa,1132,505756,164.1,52678,91579,993866,9176,1358
2014,3422593,17340,1328429,602296,Paeijaet-Haeme,840,208959,82.5,23386,29778,11649,2632,25
2014,4977124,62308,986856,1145437,Kymenlaakso,1130,172908,83.6,15977,8501,5317,2978,24
