year,oil_gas_floor_area_m2,coal_coke_floor_area_m2,wood_peat_floor_area_m2,other_floor_area_m2,region,wood_fuels_in_1000m3,population
2015,2129920,52808,1047020,633469,South Karelia,1784,131155
2015,2419753,4298,1995265,519545,South Savo,1065,141621
2015,3136659,13074,2581004,850510,North Savo,1202,253239
2015,2447943,2455,2046077,690257,North Karelia,1199,168329
2015,4504889,88738,2531558,850282,Central Finland,1942,273446
2015,5088921,4461,3173346,909835,South Ostrobothnia,467,197371
2015,4456183,87524,1520482,988762,Ostrobothnia,1095,176894
2015,1519304,3052,628093,351964,Central Ostrobothnia,189,69032
2015,4806250,36443,3278111,1385093,North Ostrobothnia,1250,410054
2015,892168,1439,1051589,255186,Kainuu,479,75324
2015,3385847,6598,1949180,923331,Lapland,1337,180858
2015,880585,2428,198134,163692,Aaland,73,28983
2016,15930478,344298,2113456,3928233,Uusimaa,1245,1638293
2016,10620096,147671,2694123,2020792,Southwest Finland,621,475543
2016,6241816,131149,1959007,1828864,Satakunta,1362,221740
2016,3164731,64917,1172855,705433,Kanta-Haeme,439,173781
2016,8796051,64948,2805695,1738022,Pirkanmaa,1367,511642
2016,3387992,17658,1335253,663937,Paeijaet-Haeme,754,208574
2016,4906941,59981,993726,1173996,Kymenlaakso,1240,170770
2016,2118703,52812,1048347,641218,South Karelia,1837,130506
2016,2403177,4298,1991135,536316,South Savo,1042,140422
2016,3120093,13684,2595109,854888,North Savo,1295,252815
2016,2418243,2461,2088681,685345,North Karelia,1123,167599
2016,4480801,88678,2585950,946627,Central Finland,1883,273910
2016,5104229,4461,3232409,916423,South Ostrobothnia,535,196572
2016,4399476,85548,1524198,1019028,Ostrobothnia,1319,176729
2016,1491085,3052,634630,346703,Central Ostrobothnia,163,69027
2016,4774537,36475,3288703,1397262,North Ostrobothnia,1320,411150
2016,876829,1439,1048221,257179,Kainuu,428,74803
2016,3374376,6724,1951137,884122,Lapland,1436,180207
2016,882255,2428,199504,165289,Aaland,74,29214
2017,15029940,366011,2128163,4122353,Uusimaa,1283,1655624
2017,9944278,149295,2702183,2089209,Southwest Finland,835,477677
2017,5937898,131364,1961284,1852103,Satakunta,1187,220398
2017,3055355,42391,1178286,733042,Kanta-Haeme,417,172720
2017,8529902,64650,2817431,1767960,Pirkanmaa,1403,514333
2017,3381797,17773,1341707,688946,Paeijaet-Haeme,714,208048
2017,4794545,59051,988151,1203654,Kymenlaakso,1234,168691
2017,2064724,52450,1044716,637154,South Karelia,2066,129865
2017,2267231,4298,2013514,556507,South Savo,1036,138822
2017,2842104,13836,2596510,879047,North Savo,1325,251570
2017,2250185,2461,2079405,700235,North Karelia,1141,166441
2017,4244750,88679,2591013,952194,Central Finland,2020,273779
2017,4952808,4775,3237069,948639,South Ostrobothnia,496,195583
2017,4236821,84447,1531996,1066792,Ostrobothnia,1293,176272
2017,1391878,3052,635423,363203,Central Ostrobothnia,210,68780
2017,4450689,35254,3267238,1422612,North Ostrobothnia,1385,411856
2017,781770,1439,1020895,266510,Kainuu,416,73959
2017,3107945,6898,1937400,911023,Lapland,1426,179223
2017,855710,2428,197753,169199,Aaland,79,29489
2018,14937328,367648,2120184,4212930,Uusimaa,1256,1671024
2018,9907771,146565,2705054,2129122,Southwest Finland,1154,478582
2018,5916403,132419,1969412,1875367,Satakunta,1250,218624
2018,3051794,42423,1180259,751056,Kanta-Haeme,416,171364
2018,8510384,63717,2817929,1799297,Pirkanmaa,1366,517333
2018,3426195,12335,1343453,681192,Paeijaet-Haeme,609,207394
2018,4735673,59352,991481,1226165,Kymenlaakso,1142,166623
2018,2066659,52255,1045562,643848,South Karelia,1939,128756
2018,2233605,4773,2006425,559992,South Savo,1028,136474
2018,2792770,13836,2608328,863741,North Savo,1350,250414
2018,2061905,2461,2098171,700740,North Karelia,1220,165569
2018,4204915,88679,2566023,895020,Central Finland,2116,273283
2018,4944704,4775,3249916,953154,South Ostrobothnia,497,194316
2018,4202611,83832,1540066,1079079,Ostrobothnia,1324,176193
2018,1395600,3052,640426,384785,Central Ostrobothnia,217,68437
2018,4405624,32870,3258761,1449007,North Ostrobothnia,1309,412161
2018,778491,1321,1019340,271617,Kainuu,435,73061
2018,3080932,6808,1966487,915991,Lapland,1367,178522
2018,847414,2428,197962,171010,Aaland,74,29789
2019,14484655,360724,2106506,4313071,Uusimaa,1524,1689725
2019,9638260,142505,2694205,2228434,Southwest Finland,1428,479341
2019,5830426,124933,1971431,1892834,Satakunta,1153,216752
2019,3015740,41078,1172852,757350,Kanta-Haeme,413,170925
2019,8371513,63247,2808356,1821443,Pirkanmaa,1419,519872
2019,3311069,12174,1329780,689525,Paeijaet-Haeme,704,206315
2019,4624806,58660,984611,1232744,Kymenlaakso,1183,164456
2019,2018454,51460,1039667,644573,South Karelia,1988,127757
2019,2143936,3800,1996601,546861,South Savo,1005,134314
2019,2708746,13954,2590031,877748,North Savo,1386,249003
2019,1959756,1714,2092138,706136,North Karelia,1181,164465
2019,4050750,88271,2550438,913155,Central Finland,2028,272898
