"port","year","tons_of_ship_cargo"
"Kumlinge","2018",.
"Kumlinge","2019",.
"Kumlinge","2020",.
"Kumlinge","2021",.
"Kumlinge","2022",.
"Kumlinge","2023",.
"Kumlinge","2024",.
"Kuopio","2016",20386
"Kuopio","2017",19885
"Kuopio","2018",21764
"Kuopio","2019",24008
"Kuopio","2020",20633
"Kuopio","2021",22702
"Kuopio","2022",.
"Kuopio","2023",.
"Kuopio","2024",.
"Laangnaes","2016",1956
"Laangnaes","2017",1033
"Laangnaes","2018",245
"Laangnaes","2019",2123
"Laangnaes","2020",8790
"Laangnaes","2021",2644
"Laangnaes","2022",1366
"Laangnaes","2023",4352
"Laangnaes","2024",2576
"Lappohja","2016",.
"Lappohja","2017",10
"Lappohja","2018",.
"Lappohja","2019",.
"Lappohja","2020",.
"Lappohja","2021",.
"Lappohja","2022",.
"Lappohja","2023",.
"Lappohja","2024",.
"Loviisa","2016",576935
"Loviisa","2017",.
"Loviisa","2018",.
"Loviisa","2019",.
"Loviisa","2020",.
"Loviisa","2021",.
"Loviisa","2022",.
"Loviisa","2023",.
"Loviisa","2024",.
"Lappeenranta","2016",221414
"Lappeenranta","2017",270065
"Lappeenranta","2018",316470
"Lappeenranta","2019",247503
"Lappeenranta","2020",271098
"Lappeenranta","2021",223397
"Lappeenranta","2022",1949
"Lappeenranta","2023",.
"Lappeenranta","2024",.
"Merikarvia","2016",21920
"Merikarvia","2017",3097
"Merikarvia","2018",.
"Merikarvia","2019",.
"Merikarvia","2020",.
"Merikarvia","2021",.
"Merikarvia","2022",.
"Merikarvia","2023",.
"Merikarvia","2024",.
"Maarianhamina","2016",70509
"Maarianhamina","2017",50748
"Maarianhamina","2018",45827
"Maarianhamina","2019",60599
"Maarianhamina","2020",39140
"Maarianhamina","2021",54478
"Maarianhamina","2022",44702
"Maarianhamina","2023",42010
"Maarianhamina","2024",16257
"Naantali","2016",5378112
"Naantali","2017",4983884
"Naantali","2018",5682024
"Naantali","2019",5654673
"Naantali","2020",6079068
"Naantali","2021",3754254
"Naantali","2022",3194585
"Naantali","2023",2676080
"Naantali","2024",1549823
"Oulu","2016",2960230
"Oulu","2017",2969261
"Oulu","2018",2907909
"Oulu","2019",2446063
"Oulu","2020",1838681
"Oulu","2021",1349904
"Oulu","2022",1564298
"Oulu","2023",1318421
"Oulu","2024",768918
"Parainen","2016",557584
"Parainen","2017",582822
"Parainen","2018",475219
"Parainen","2019",404882
"Parainen","2020",348698
"Parainen","2021",364446
"Parainen","2022",360489
"Parainen","2023",284002
"Parainen","2024",131011
"Pohjankuru","2016",105752
"Pohjankuru","2017",94312
"Pohjankuru","2018",110806
"Pohjankuru","2019",116162
"Pohjankuru","2020",101125
"Pohjankuru","2021",123489
"Pohjankuru","2022",128124
"Pohjankuru","2023",97692
"Pohjankuru","2024",51641
"Pori","2016",2873056
"Pori","2017",2876766
"Pori","2018",3487341
"Pori","2019",3223976
"Pori","2020",2949714
"Pori","2021",3379315
"Pori","2022",4387472
"Pori","2023",2738486
"Pori","2024",1151396
"Pietarsaari","2016",840838
"Pietarsaari","2017",859739
"Pietarsaari","2018",1123194
"Pietarsaari","2019",1250588
"Pietarsaari","2020",1062778
"Pietarsaari","2021",1309064
"Pietarsaari","2022",968598
"Pietarsaari","2023",1139558
"Pietarsaari","2024",478083
"Raahe","2016",4845367
"Raahe","2017",4803299
"Raahe","2018",5230359
"Raahe","2019",4744515
"Raahe","2020",4658505
"Raahe","2021",5461809
"Raahe","2022",5729935
"Raahe","2023",5553086
"Raahe","2024",2873499
"Rauma","2016",5584750
"Rauma","2017",5843238
"Rauma","2018",5750585
"Rauma","2019",5723941
"Rauma","2020",4819187
"Rauma","2021",5173838
"Rauma","2022",4346742
"Rauma","2023",4485451
"Rauma","2024",2232691
"Ristiina","2016",20666
"Ristiina","2017",20139
"Ristiina","2018",8469
"Ristiina","2019",26526
"Ristiina","2020",10957
"Ristiina","2021",19435
"Ristiina","2022",.
"Ristiina","2023",.
"Ristiina","2024",.
"Salo","2016",.
"Salo","2017",1170
"Salo","2018",1170
"Salo","2019",2340
"Salo","2020",.
"Salo","2021",.
"Salo","2022",.
"Salo","2023",.
"Salo","2024",.
"Siilinjaervi","2016",153354
"Siilinjaervi","2017",136637
"Siilinjaervi","2018",104898
"Siilinjaervi","2019",102707
"Siilinjaervi","2020",131548
"Siilinjaervi","2021",149998
"Siilinjaervi","2022",.
"Siilinjaervi","2023",.
"Siilinjaervi","2024",.
"Sipoo/Kalkkiranta","2016",12169
"Sipoo/Kalkkiranta","2017",25323
"Sipoo/Kalkkiranta","2018",35864
"Sipoo/Kalkkiranta","2019",33422
"Sipoo/Kalkkiranta","2020",9155
"Sipoo/Kalkkiranta","2021",20642
"Sipoo/Kalkkiranta","2022",18800
"Sipoo/Kalkkiranta","2023",30667
"Sipoo/Kalkkiranta","2024",5439
"Skogby","2016",.
"Skogby","2017",.
"Skogby","2018",.
"Skogby","2019",.
"Skogby","2020",1480
"Skogby","2021",1490
"Skogby","2022",1735
"Skogby","2023",.
"Skogby","2024",.
"Skoeldvik","2016",21538635
"Skoeldvik","2017",21373110
"Skoeldvik","2018",21431477
"Skoeldvik","2019",21856631
"Skoeldvik","2020",19948546
"Skoeldvik","2021",16644150
"Skoeldvik","2022",20688479
"Skoeldvik","2023",21366645
"Skoeldvik","2024",8172889
"Savonlinna","2016",30455
"Savonlinna","2017",28877
"Savonlinna","2018",43111
"Savonlinna","2019",21294
"Savonlinna","2020",17877
"Savonlinna","2021",34842
"Savonlinna","2022",825
"Savonlinna","2023",.
"Savonlinna","2024",.
"Turku","2016",2191653
"Turku","2017",2202288
"Turku","2018",2116155
"Turku","2019",2038087
"Turku","2020",2353458
"Turku","2021",2317135
"Turku","2022",1984218
"Turku","2023",1632955
"Turku","2024",855970
"Tolkkinen","2016",102158
"Tolkkinen","2017",133911
"Tolkkinen","2018",143856
"Tolkkinen","2019",137954
"Tolkkinen","2020",160814
"Tolkkinen","2021",105451
"Tolkkinen","2022",140888
"Tolkkinen","2023",147651
"Tolkkinen","2024",71324
"Tornio","2016",3035966
"Tornio","2017",3070757
"Tornio","2018",2999023
"Tornio","2019",3059726
"Tornio","2020",3163447
"Tornio","2021",3385191
"Tornio","2022",3088961
"Tornio","2023",2996576
"Tornio","2024",1302821
"Uusikaupunki","2016",1723191
"Uusikaupunki","2017",2250209
"Uusikaupunki","2018",2479605
"Uusikaupunki","2019",2466927
"Uusikaupunki","2020",2121258
"Uusikaupunki","2021",2437570
"Uusikaupunki","2022",2289169
"Uusikaupunki","2023",1828881
"Uusikaupunki","2024",912401
"Vaasa","2016",1047654
"Vaasa","2017",784934
"Vaasa","2018",858926
"Vaasa","2019",910103
"Vaasa","2020",774573
"Vaasa","2021",803969
"Vaasa","2022",1180127
"Vaasa","2023",891272
"Vaasa","2024",485016
"Varkaus","2016",50197
"Varkaus","2017",49693
"Varkaus","2018",36848
"Varkaus","2019",29514
"Varkaus","2020",27491
"Varkaus","2021",36737
"Varkaus","2022",1084
"Varkaus","2023",.
"Varkaus","2024",.
"Korppoo","2016",.
"Korppoo","2017",.
"Korppoo","2018",.
"Korppoo","2019",.
"Korppoo","2020",.
"Korppoo","2021",.
"Korppoo","2022",435
"Korppoo","2023",.
"Korppoo","2024",.
