"Year","Area","Long Distance Or Reg Heating Gross Floor Area (m2)","Oil Gas Floor Area m2","Electricity Floor Area m2","Coal Coke Floor Area m2","Wood Peat Floor Area m2","Ground Heat Floor Area m2","Other Floor Area m2"
"2014","MK01 Uusimaa",76318322,15552283,21350007,310723,2074948,2189461,3591613
"2014","MK02 Southwest Finland",15388311,10567952,8863157,144063,2621678,902809,2005534
"2014","MK04 Satakunta",6907746,6246845,5640950,131367,1939381,277764,1761543
"2014","MK05 Kanta-Haeme",5725651,3136264,4259851,65189,1157545,326142,720726
"2014","MK06 Pirkanmaa",19139311,8813421,8251353,67242,2762310,1007950,1710457
"2014","MK07 Paeijaet-Haeme",9725064,3422593,3567779,17340,1328429,335089,602296
"2014","MK08 Kymenlaakso",5214253,4977124,3582254,62308,986856,297672,1145437
"2014","MK09 South Karelia",5475897,2122184,2316804,50538,1039890,150606,616467
"2014","MK10 South Savo",4237358,2450071,3267678,4298,1993893,293191,517262
"2014","MK11 North Savo",9800628,3151078,4882211,13074,2566452,323808,833003
"2014","MK12 North Karelia",4919180,2448038,4227475,2455,2045954,273425,682596
"2014","MK13 Central Finland",9039433,4583507,4973027,94034,2562388,446376,949419
"2014","MK14 South Ostrobothnia",4847905,5108183,4440575,4461,3147496,358425,897663
"2014","MK15 Ostrobothnia",4880162,4483211,3287544,87641,1521887,744398,974884
"2014","MK16 Central Ostrobothnia",1957317,1522525,1460444,3052,628367,183306,344088
"2014","MK17 North Ostrobothnia",14293885,4821051,8153663,36842,3274449,690887,1368376
"2014","MK18 Kainuu",3047376,899566,1573766,1439,1051576,187553,250357
"2014","MK19 Lapland",5468928,3376039,5026874,7754,1945824,287212,904598
"2014","MK21 Aaland",586282,881241,610090,2428,196406,176619,159995
"2015","MK01 Uusimaa",77576827,15909418,21452674,338705,2098485,2506448,3692932
"2015","MK02 Southwest Finland",15683011,10680270,8928134,148076,2651541,1044141,2052351
"2015","MK04 Satakunta",6849843,6241020,5664960,131219,1950061,369167,1781415
"2015","MK05 Kanta-Haeme",5790455,3147044,4302550,64949,1166404,354569,718976
"2015","MK06 Pirkanmaa",19453015,8803143,8281557,65613,2779324,1184981,1646674
"2015","MK07 Paeijaet-Haeme",9858738,3393043,3582547,17340,1327894,378622,610993
"2015","MK08 Kymenlaakso",5266387,4957775,3665607,60402,993558,349888,1196324
"2015","MK09 South Karelia",5587734,2129920,2328576,52808,1047020,163839,633469
"2015","MK10 South Savo",4314600,2419753,3281589,4298,1995265,351288,519545
"2015","MK11 North Savo",9978643,3136659,4925248,13074,2581004,377621,850510
"2015","MK12 North Karelia",5108231,2447943,4266546,2455,2046077,302001,690257
"2015","MK13 Central Finland",9242353,4504889,4997498,88738,2531558,496645,850282
"2015","MK14 South Ostrobothnia",4993993,5088921,4469198,4461,3173346,402088,909835
"2015","MK15 Ostrobothnia",4969797,4456183,3308499,87524,1520482,827444,988762
"2015","MK16 Central Ostrobothnia",2019416,1519304,1464012,3052,628093,195814,351964
"2015","MK17 North Ostrobothnia",14516949,4806250,8174076,36443,3278111,789812,1385093
"2015","MK18 Kainuu",3068531,892168,1581189,1439,1051589,203935,255186
"2015","MK19 Lapland",5563250,3385847,5058689,6598,1949180,322836,923331
"2015","MK21 Aaland",607913,880585,622192,2428,198134,192833,163692
"2016","MK01 Uusimaa",79156244,15930478,21668818,344298,2113456,2921492,3928233
"2016","MK02 Southwest Finland",15992748,10620096,9047591,147671,2694123,1189919,2020792
"2016","MK04 Satakunta",7129417,6241816,5723770,131149,1959007,417887,1828864
"2016","MK05 Kanta-Haeme",5858157,3164731,4337425,64917,1172855,389562,705433
"2016","MK06 Pirkanmaa",19833269,8796051,8342891,64948,2805695,1352316,1738022
"2016","MK07 Paeijaet-Haeme",9954232,3387992,3605362,17658,1335253,432927,663937
"2016","MK08 Kymenlaakso",5343822,4906941,3690190,59981,993726,407369,1173996
"2016","MK09 South Karelia",5613120,2118703,2343467,52812,1048347,184056,641218
"2016","MK10 South Savo",4395772,2403177,3294340,4298,1991135,374500,536316
"2016","MK11 North Savo",10176991,3120093,4973578,13684,2595109,426253,854888
"2016","MK12 North Karelia",5204243,2418243,4306755,2461,2088681,329176,685345
"2016","MK13 Central Finland",9539457,4480801,5041312,88678,2585950,564991,946627
"2016","MK14 South Ostrobothnia",5154666,5104229,4495317,4461,3232409,441248,916423
"2016","MK15 Ostrobothnia",5128002,4399476,3344107,85548,1524198,904619,1019028
"2016","MK16 Central Ostrobothnia",2090573,1491085,1461468,3052,634630,208485,346703
"2016","MK17 North Ostrobothnia",14999501,4774537,8223180,36475,3288703,908087,1397262
"2016","MK18 Kainuu",3100758,876829,1589135,1439,1048221,220746,257179
"2016","MK19 Lapland",5671665,3374376,5103408,6724,1951137,377726,884122
"2016","MK21 Aaland",628142,882255,637591,2428,199504,204462,165289
"2017","MK01 Uusimaa",81671050,15029940,21954398,366011,2128163,3297567,4122353
"2017","MK02 Southwest Finland",16872198,9944278,9278651,149295,2702183,1392335,2089209
"2017","MK04 Satakunta",7635810,5937898,5809298,131364,1961284,467683,1852103
"2017","MK05 Kanta-Haeme",6086572,3055355,4397335,42391,1178286,428676,733042
"2017","MK06 Pirkanmaa",20540673,8529902,8475952,64650,2817431,1574126,1767960
"2017","MK07 Paeijaet-Haeme",10132240,3381797,3642373,17773,1341707,455651,688946
"2017","MK08 Kymenlaakso",5564660,4794545,3705540,59051,988151,460107,1203654
"2017","MK09 South Karelia",5789584,2064724,2373848,52450,1044716,196592,637154
"2017","MK10 South Savo",4580975,2267231,3339781,4298,2013514,410876,556507
"2017","MK11 North Savo",10628950,2842104,5020189,13836,2596510,483383,879047
"2017","MK12 North Karelia",5485569,2250185,4352461,2461,2079405,356034,700235
"2017","MK13 Central Finland",10193424,4244750,5096030,88679,2591013,690328,952194
"2017","MK14 South Ostrobothnia",5540793,4952808,4540884,4775,3237069,492797,948639
"2017","MK15 Ostrobothnia",5386649,4236821,3403958,84447,1531996,1032618,1066792
"2017","MK16 Central Ostrobothnia",2290717,1391878,1485279,3052,635423,228287,363203
"2017","MK17 North Ostrobothnia",15666108,4450689,8303251,35254,3267238,1043159,1422612
"2017","MK18 Kainuu",3244943,781770,1589082,1439,1020895,239589,266510
"2017","MK19 Lapland",6070938,3107945,5143836,6898,1937400,467861,911023
"2017","MK21 Aaland",703006,855710,672236,2428,197753,219492,169199
"2018","MK01 Uusimaa",83542738,14937328,22156319,367648,2120184,3705365,4212930
"2018","MK02 Southwest Finland",17217456,9907771,9225598,146565,2705054,1571082,2129122
"2018","MK04 Satakunta",7623801,5916403,5841997,132419,1969412,514035,1875367
