"Year","Region","Variable","Utilized Agric Area"
"2014","South Ostrobothnia","Cultivated area (1 000 ha)",246.9
"2014","Ostrobothnia","Cultivated area (1 000 ha)",138.1
"2014","Central Ostrobothnia","Cultivated area (1 000 ha)",57.2
"2014","North Ostrobothnia","Cultivated area (1 000 ha)",228.3
"2014","Kainuu","Cultivated area (1 000 ha)",31.5
"2014","Lapland","Cultivated area (1 000 ha)",44.3
"2014","Aaland","Cultivated area (1 000 ha)",20.8
"2015","Uusimaa","Cultivated area (1 000 ha)",181.6
"2015","Varsinais-Suomi","Cultivated area (1 000 ha)",294.2
"2015","Satakunta","Cultivated area (1 000 ha)",140.8
"2015","Kanta-Haeme","Cultivated area (1 000 ha)",104.2
"2015","Pirkanmaa","Cultivated area (1 000 ha)",164.8
"2015","Paeijaet-Haeme","Cultivated area (1 000 ha)",82.2
"2015","Kymenlaakso","Cultivated area (1 000 ha)",83.7
"2015","South Karelia","Cultivated area (1 000 ha)",53.2
"2015","Etelae-Savo","Cultivated area (1 000 ha)",72.1
"2015","Pohjois-Savo","Cultivated area (1 000 ha)",148.5
"2015","North Karelia","Cultivated area (1 000 ha)",85.9
"2015","Central Finland","Cultivated area (1 000 ha)",94.5
"2015","South Ostrobothnia","Cultivated area (1 000 ha)",247.9
"2015","Ostrobothnia","Cultivated area (1 000 ha)",138.1
"2015","Central Ostrobothnia","Cultivated area (1 000 ha)",57.3
"2015","North Ostrobothnia","Cultivated area (1 000 ha)",229.9
"2015","Kainuu","Cultivated area (1 000 ha)",32.0
"2015","Lapland","Cultivated area (1 000 ha)",44.8
"2015","Aaland","Cultivated area (1 000 ha)",17.3
"2016","Uusimaa","Cultivated area (1 000 ha)",181.4
"2016","Varsinais-Suomi","Cultivated area (1 000 ha)",294.3
"2016","Satakunta","Cultivated area (1 000 ha)",140.9
"2016","Kanta-Haeme","Cultivated area (1 000 ha)",104.0
"2016","Pirkanmaa","Cultivated area (1 000 ha)",165.1
"2016","Paeijaet-Haeme","Cultivated area (1 000 ha)",82.3
"2016","Kymenlaakso","Cultivated area (1 000 ha)",84.0
"2016","South Karelia","Cultivated area (1 000 ha)",52.9
"2016","Etelae-Savo","Cultivated area (1 000 ha)",72.4
"2016","Pohjois-Savo","Cultivated area (1 000 ha)",149.0
"2016","North Karelia","Cultivated area (1 000 ha)",85.6
"2016","Central Finland","Cultivated area (1 000 ha)",94.0
"2016","South Ostrobothnia","Cultivated area (1 000 ha)",248.9
"2016","Ostrobothnia","Cultivated area (1 000 ha)",138.3
"2016","Central Ostrobothnia","Cultivated area (1 000 ha)",57.5
"2016","North Ostrobothnia","Cultivated area (1 000 ha)",236.8
"2016","Kainuu","Cultivated area (1 000 ha)",25.7
"2016","Lapland","Cultivated area (1 000 ha)",44.8
"2016","Aaland","Cultivated area (1 000 ha)",16.9
"2017","Uusimaa","Cultivated area (1 000 ha)",181.1
