"Year","Region","Energy Use In Tj"
"2017","MK16 Central Ostrobothnia",7725
"2017","MK17 North Ostrobothnia",60421
"2017","MK18 Kainuu",3185
"2017","MK19 Lapland",55090
"2017","MK21 Aaland",253
"2018","MK01 Uusimaa",73753
"2018","MK02 Varsinais-Suomi",17369
"2018","MK05 Kanta-Haeme",7390
"2018","MK07 Paeijaet-Haeme",8077
"2018","MK08 Kymenlaakso",46203
"2018","MK09 South Karelia",75980
"2018","MK04 Satakunta",34857
"2018","MK06 Pirkanmaa",19641
"2018","MK13 Central Finland",49323
"2018","MK14 South Ostrobothnia",5554
"2018","MK15 Ostrobothnia",24878
"2018","MK10 South-Savo",4850
"2018","MK11 Pohjois-Savo",16982
"2018","MK12 North Karelia",19067
"2018","MK16 Central Ostrobothnia",7559
"2018","MK17 North Ostrobothnia",63950
"2018","MK18 Kainuu",2631
"2018","MK19 Lapland",56635
"2018","MK21 Aaland",255
"2019","MK01 Uusimaa",73369
"2019","MK02 Varsinais-Suomi",17776
"2019","MK05 Kanta-Haeme",6455
"2019","MK07 Paeijaet-Haeme",8273
"2019","MK08 Kymenlaakso",46725
"2019","MK09 South Karelia",75796
"2019","MK04 Satakunta",34587
"2019","MK06 Pirkanmaa",19251
"2019","MK13 Central Finland",52751
"2019","MK14 South Ostrobothnia",4525
"2019","MK15 Ostrobothnia",25860
"2019","MK10 South-Savo",4041
"2019","MK11 Pohjois-Savo",17382
"2019","MK12 North Karelia",19389
"2019","MK16 Central Ostrobothnia",6990
"2019","MK17 North Ostrobothnia",55494
"2019","MK18 Kainuu",2819
"2019","MK19 Lapland",56321
"2019","MK21 Aaland",261
"2020","MK01 Uusimaa",66714
"2020","MK02 Varsinais-Suomi",17985
"2020","MK05 Kanta-Haeme",6364
"2020","MK07 Paeijaet-Haeme",8061
"2020","MK08 Kymenlaakso",43832
"2020","MK09 South Karelia",71641
"2020","MK04 Satakunta",31307
"2020","MK06 Pirkanmaa",18234
"2020","MK13 Central Finland",45788
"2020","MK14 South Ostrobothnia",4601
"2020","MK15 Ostrobothnia",24329
"2020","MK10 South-Savo",3853
"2020","MK11 Pohjois-Savo",16382
"2020","MK12 North Karelia",19689
"2020","MK16 Central Ostrobothnia",7061
"2020","MK17 North Ostrobothnia",50775
"2020","MK18 Kainuu",2898
"2020","MK19 Lapland",53220
"2020","MK21 Aaland",234
"2021","MK01 Uusimaa",64062
"2021","MK02 Varsinais-Suomi",12735
"2021","MK05 Kanta-Haeme",6715
"2021","MK07 Paeijaet-Haeme",8842
"2021","MK08 Kymenlaakso",46565
"2021","MK09 South Karelia",75577
"2021","MK04 Satakunta",33690
"2021","MK06 Pirkanmaa",19557
"2021","MK13 Central Finland",44479
"2021","MK14 South Ostrobothnia",4728
"2021","MK15 Ostrobothnia",27306
"2021","MK10 South-Savo",4420
"2021","MK11 Pohjois-Savo",16857
"2021","MK12 North Karelia",20209
"2021","MK16 Central Ostrobothnia",8660
"2021","MK17 North Ostrobothnia",57266
"2021","MK18 Kainuu",3746
